num_extra_criteria,load_time,preprocess_time,query_time,cumulative_time,original_rows,original_patients,result_rows,result_patients: ,notes
0,31.102002681000023,49.64690244299994,501.6668396979999,582.4157448219999,398026865,474454,212765,116582,"{'polars_threads': 20, 'platform': 'Linux-3.10.0-1160.108.1.el7.x86_64-x86_64-with-glibc2.17', 'memory': svmem(total=270075793408, available=217164587008, percent=19.6, used=51912675328, free=58892402688, active=130718330880, inactive=74220433408, buffers=5447680, cached=159265267712, shared=93171712, slab=2701615104), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1371.3955, min=1200.0, max=3000.0), 'cores': 32}"
1,31.102002681000023,49.64690244299994,498.81542558499984,579.5643307089998,398026865,474454,9348,6313,"{'polars_threads': 20, 'platform': 'Linux-3.10.0-1160.108.1.el7.x86_64-x86_64-with-glibc2.17', 'memory': svmem(total=270075793408, available=217165643776, percent=19.6, used=51911618560, free=58893443072, active=130723053568, inactive=74219950080, buffers=5447680, cached=159265284096, shared=93171712, slab=2701524992), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1332.8711875000004, min=1200.0, max=3000.0), 'cores': 32}"
2,31.102002681000023,49.64690244299994,513.472931614,594.221836738,398026865,474454,9348,6313,"{'polars_threads': 20, 'platform': 'Linux-3.10.0-1160.108.1.el7.x86_64-x86_64-with-glibc2.17', 'memory': svmem(total=270075793408, available=217151660032, percent=19.6, used=51925602304, free=58879168512, active=130743775232, inactive=74212679680, buffers=5447680, cached=159265574912, shared=93171712, slab=2701438976), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1433.5476875, min=1200.0, max=3000.0), 'cores': 32}"
4,31.102002681000023,49.64690244299994,501.8471869979998,582.5960921219997,398026865,474454,9348,6313,"{'polars_threads': 20, 'platform': 'Linux-3.10.0-1160.108.1.el7.x86_64-x86_64-with-glibc2.17', 'memory': svmem(total=270075793408, available=217188904960, percent=19.6, used=51888357376, free=58916368384, active=130705698816, inactive=74212614144, buffers=5447680, cached=159265619968, shared=93171712, slab=2701676544), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1393.6135625000002, min=1200.0, max=3000.0), 'cores': 32}"
8,31.102002681000023,49.64690244299994,500.8051922909999,581.5540974149999,398026865,474454,9348,6313,"{'polars_threads': 20, 'platform': 'Linux-3.10.0-1160.108.1.el7.x86_64-x86_64-with-glibc2.17', 'memory': svmem(total=270075793408, available=217157754880, percent=19.6, used=51919503360, free=58885210112, active=130739302400, inactive=74212569088, buffers=5447680, cached=159265632256, shared=93175808, slab=2701688832), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1315.1951875, min=1200.0, max=3000.0), 'cores': 32}"
16,31.102002681000023,49.64690244299994,508.3375621380005,589.0864672620005,398026865,474454,9348,6313,"{'polars_threads': 20, 'platform': 'Linux-3.10.0-1160.108.1.el7.x86_64-x86_64-with-glibc2.17', 'memory': svmem(total=270075793408, available=217179033600, percent=19.6, used=51898224640, free=58906472448, active=130717769728, inactive=74212577280, buffers=5447680, cached=159265648640, shared=93175808, slab=2701619200), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1276.2503750000003, min=1200.0, max=3000.0), 'cores': 32}"
