CMDLINE python run_profiling.py
MEM 0.003906 1712966670.5104
MEM 31.070312 1712966670.6106
MEM 70.203125 1712966670.7109
MEM 85.121094 1712966670.8111
MEM 105.734375 1712966670.9113
MEM 211.539062 1712966671.0117
MEM 266.636719 1712966671.1120
MEM 289.660156 1712966671.2123
MEM 307.910156 1712966671.3126
MEM 359.539062 1712966671.4129
MEM 379.027344 1712966671.5131
MEM 386.015625 1712966671.6134
MEM 394.296875 1712966671.7137
MEM 407.277344 1712966671.8139
MEM 411.117188 1712966671.9143
MEM 421.429688 1712966672.0146
MEM 424.328125 1712966672.1148
MEM 429.644531 1712966672.2152
MEM 436.058594 1712966672.3155
MEM 437.871094 1712966672.4158
MEM 445.250000 1712966672.5160
MEM 452.574219 1712966672.6163
MEM 464.589844 1712966672.7166
MEM 470.335938 1712966672.8168
MEM 476.687500 1712966672.9171
MEM 1207.324219 1712966673.0174
MEM 1423.722656 1712966673.1177
MEM 1592.066406 1712966673.2182
MEM 2535.925781 1712966673.3186
MEM 3713.136719 1712966673.4189
MEM 4933.523438 1712966673.5193
MEM 6252.109375 1712966673.6197
MEM 7595.242188 1712966673.7201
MEM 8942.566406 1712966673.8205
MEM 10303.164062 1712966673.9209
MEM 11670.546875 1712966674.0213
MEM 13027.953125 1712966674.1217
MEM 14388.472656 1712966674.2221
MEM 15685.406250 1712966674.3225
MEM 17031.988281 1712966674.4228
MEM 18311.558594 1712966674.5232
MEM 19640.863281 1712966674.6236
MEM 20990.980469 1712966674.7240
MEM 22152.328125 1712966674.8244
MEM 22221.007812 1712966674.9246
MEM 22220.925781 1712966675.0249
MEM 22219.175781 1712966675.1253
MEM 21222.246094 1712966675.2256
MEM 22904.214844 1712966675.3260
MEM 24682.863281 1712966675.4263
MEM 26460.480469 1712966675.5268
MEM 28237.839844 1712966675.6273
MEM 30017.261719 1712966675.7278
MEM 31789.980469 1712966675.8283
MEM 33569.144531 1712966675.9287
MEM 35349.339844 1712966676.0292
MEM 37053.222656 1712966676.1296
MEM 38444.894531 1712966676.2300
MEM 38787.269531 1712966676.3303
MEM 39131.964844 1712966676.4306
MEM 39475.371094 1712966676.5311
MEM 39784.746094 1712966676.6315
MEM 40028.378906 1712966676.7318
MEM 38849.429688 1712966676.8321
MEM 37594.304688 1712966676.9324
MEM 36392.312500 1712966677.0327
MEM 35320.320312 1712966677.1330
MEM 34074.050781 1712966677.2333
MEM 32769.816406 1712966677.3336
MEM 31397.371094 1712966677.4339
MEM 30032.960938 1712966677.5341
MEM 28820.324219 1712966677.6344
MEM 27584.371094 1712966677.7346
MEM 26311.128906 1712966677.8349
MEM 25038.843750 1712966677.9351
MEM 25159.898438 1712966678.0356
MEM 25233.945312 1712966678.1359
MEM 24604.468750 1712966678.2364
MEM 25763.101562 1712966678.3368
MEM 27095.488281 1712966678.4372
MEM 28997.371094 1712966678.5376
MEM 30901.832031 1712966678.6380
MEM 32780.675781 1712966678.7384
MEM 34555.183594 1712966678.8388
MEM 35348.531250 1712966678.9392
MEM 35674.386719 1712966679.0396
MEM 35898.183594 1712966679.1400
MEM 35635.238281 1712966679.2405
MEM 34735.371094 1712966679.3408
MEM 35417.359375 1712966679.4412
MEM 35975.027344 1712966679.5427
MEM 36085.292969 1712966679.6432
MEM 35555.929688 1712966679.7435
MEM 35022.816406 1712966679.8438
MEM 34661.714844 1712966679.9441
MEM 34205.355469 1712966680.0444
MEM 33662.773438 1712966680.1447
MEM 33273.933594 1712966680.2451
MEM 32856.660156 1712966680.3454
MEM 32307.957031 1712966680.4457
MEM 31972.289062 1712966680.5460
MEM 31444.421875 1712966680.6463
MEM 30870.687500 1712966680.7467
MEM 30379.890625 1712966680.8470
MEM 30033.273438 1712966680.9473
MEM 29459.871094 1712966681.0475
MEM 28930.863281 1712966681.1478
MEM 28596.820312 1712966681.2483
MEM 28060.882812 1712966681.3486
MEM 27472.375000 1712966681.4489
MEM 27124.914062 1712966681.5492
MEM 26557.273438 1712966681.6496
MEM 26030.296875 1712966681.7499
MEM 27199.457031 1712966681.8503
MEM 26502.816406 1712966681.9505
MEM 26267.824219 1712966682.0509
MEM 26890.183594 1712966682.1515
MEM 27949.996094 1712966682.2520
MEM 29561.535156 1712966682.3525
MEM 31180.125000 1712966682.4531
MEM 32762.996094 1712966682.5536
MEM 34340.675781 1712966682.6541
MEM 35820.371094 1712966682.7547
MEM 37324.953125 1712966682.8552
MEM 38785.679688 1712966682.9557
MEM 40217.335938 1712966683.0561
MEM 41631.828125 1712966683.1566
MEM 43007.667969 1712966683.2571
MEM 44328.718750 1712966683.3575
MEM 45580.964844 1712966683.4580
MEM 46745.984375 1712966683.5585
MEM 46867.289062 1712966683.6589
MEM 47240.085938 1712966683.7592
MEM 47568.796875 1712966683.8595
MEM 47897.765625 1712966683.9599
MEM 48137.789062 1712966684.0602
MEM 48267.468750 1712966684.1605
MEM 48357.187500 1712966684.2609
MEM 48420.093750 1712966684.3611
MEM 48288.832031 1712966684.4614
MEM 47349.234375 1712966684.5616
MEM 47365.945312 1712966684.6620
MEM 47507.484375 1712966684.7622
MEM 47649.281250 1712966684.8625
MEM 47782.312500 1712966684.9628
MEM 47917.406250 1712966685.0632
MEM 48054.562500 1712966685.1634
MEM 48201.000000 1712966685.2638
MEM 48352.335938 1712966685.3640
MEM 48444.890625 1712966685.4645
MEM 48525.179688 1712966685.5650
MEM 48653.570312 1712966685.6653
MEM 48782.734375 1712966685.7656
MEM 48901.843750 1712966685.8661
MEM 49031.523438 1712966685.9664
MEM 47890.140625 1712966686.0685
MEM 49291.093750 1712966686.1691
MEM 51017.148438 1712966686.2696
MEM 52743.203125 1712966686.3702
MEM 54469.902344 1712966686.4707
MEM 56194.152344 1712966686.5713
MEM 57907.960938 1712966686.6718
MEM 59621.898438 1712966686.7724
MEM 61337.382812 1712966686.8730
MEM 63044.746094 1712966686.9736
MEM 64725.167969 1712966687.0741
MEM 66249.226562 1712966687.1747
MEM 67419.437500 1712966687.2752
MEM 68190.941406 1712966687.3757
MEM 68909.722656 1712966687.4761
MEM 69615.355469 1712966687.5766
MEM 70082.640625 1712966687.6770
MEM 70248.027344 1712966687.7774
MEM 70333.621094 1712966687.8778
MEM 69464.851562 1712966687.9782
MEM 68176.386719 1712966688.0786
MEM 66783.835938 1712966688.1790
MEM 65390.835938 1712966688.2793
MEM 63979.144531 1712966688.3796
MEM 62566.988281 1712966688.4800
MEM 61098.765625 1712966688.5803
MEM 59568.496094 1712966688.6805
MEM 58077.230469 1712966688.7807
MEM 56514.011719 1712966688.8810
MEM 55113.828125 1712966688.9812
MEM 53463.738281 1712966689.0815
MEM 52064.562500 1712966689.1816
MEM 50668.839844 1712966689.2818
MEM 49102.562500 1712966689.3822
MEM 47633.960938 1712966689.4827
MEM 47212.550781 1712966689.5831
MEM 47226.746094 1712966689.6834
MEM 47288.363281 1712966689.7838
MEM 47362.613281 1712966689.8841
MEM 47436.347656 1712966689.9844
MEM 47510.082031 1712966690.0848
MEM 47583.558594 1712966690.1852
MEM 47656.003906 1712966690.2856
MEM 47729.480469 1712966690.3860
MEM 47803.730469 1712966690.4864
MEM 47876.175781 1712966690.5867
MEM 47950.167969 1712966690.6872
MEM 48024.417969 1712966690.7876
MEM 48098.410156 1712966690.8881
MEM 48172.660156 1712966690.9886
MEM 48246.394531 1712966691.0890
MEM 48320.128906 1712966691.1894
MEM 48391.285156 1712966691.2897
MEM 48464.761719 1712966691.3901
MEM 48539.269531 1712966691.4905
MEM 48612.746094 1712966691.5908
MEM 48686.738281 1712966691.6912
MEM 48760.988281 1712966691.7916
MEM 48835.238281 1712966691.8919
MEM 48758.152344 1712966691.9923
MEM 48830.597656 1712966692.0927
MEM 48904.332031 1712966692.1931
MEM 48978.324219 1712966692.2934
MEM 49052.058594 1712966692.3937
MEM 49125.535156 1712966692.4941
MEM 49200.042969 1712966692.5944
MEM 49275.839844 1712966692.6947
MEM 49350.605469 1712966692.7950
MEM 49425.371094 1712966692.8953
MEM 49498.332031 1712966692.9956
MEM 49570.777344 1712966693.0959
MEM 49643.222656 1712966693.1962
MEM 49716.183594 1712966693.2965
MEM 49788.628906 1712966693.3968
MEM 49860.816406 1712966693.4971
MEM 49933.519531 1712966693.5974
MEM 50007.253906 1712966693.6977
MEM 50080.988281 1712966693.7980
MEM 50154.980469 1712966693.8983
