num_extra_windows_in_parallel,load_time,preprocess_time,query_time,cumulative_time,original_rows,original_patients,result_rows,result_patients: ,notes
inhospital_mortality,5.316755626999998,10.040767877000018,36.647837692999964,52.005361196999985,158134725,12127,3515,2703,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=162036674560, percent=59.9, used=238312415232, free=81009041408, active=55039987712, inactive=258003103744, buffers=2955198464, cached=81837727744, shared=27197440, slab=8228278272), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.259222222222223, min=1200.0, max=3700.0), 'cores': 36}"
abnormal_lab,5.316755626999998,10.040767877000018,21.42008998500001,36.77761348900003,158134725,12127,100,43,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=162176311296, percent=59.9, used=238172778496, free=81148555264, active=55040004096, inactive=257933832192, buffers=2955210752, cached=81837838336, shared=27197440, slab=8228724736), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.3222222222222229, min=1200.0, max=3700.0), 'cores': 36}"
imminent_mortality,5.316755626999998,10.040767877000018,19.687584746000017,35.045108250000034,158134725,12127,12038362,12110,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=161112211456, percent=60.1, used=239236878336, free=80084520960, active=55040024576, inactive=258686107648, buffers=2955231232, cached=81837752320, shared=27197440, slab=8228691968), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.612194444444445, min=1200.0, max=3700.0), 'cores': 36}"
outlier_detection,5.316755626999998,10.040767877000018,41.01479273900002,56.37231624300004,158134725,12127,6,6,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=161980362752, percent=59.9, used=238368727040, free=80952832000, active=55040077824, inactive=258018324480, buffers=2955284480, cached=81837539328, shared=27197440, slab=8228098048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2388333333333337, min=1200.0, max=3700.0), 'cores': 36}"
readmission_risk,5.316755626999998,10.040767877000018,22.440900206999995,37.79842371100001,158134725,12127,19241,10487,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=161333022720, percent=60.1, used=239016067072, free=80305496064, active=55040098304, inactive=258683351040, buffers=2955304960, cached=81837514752, shared=27197440, slab=8228638720), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2053888888888893, min=1200.0, max=3700.0), 'cores': 36}"
long_term_incidence,5.316755626999998,10.040767877000018,34.274650325000046,49.63217382900007,158134725,12127,48631,11005,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=160884109312, percent=60.2, used=239464980480, free=79856488448, active=55040122880, inactive=259155652608, buffers=2955321344, cached=81837592576, shared=27197440, slab=8228491264), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2490833333333338, min=1200.0, max=3700.0), 'cores': 36}"
intervention_weaning,5.316755626999998,10.040767877000018,26.223528004,41.581051508000016,158134725,12127,3501,2455,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=161699917824, percent=60.0, used=238649163776, free=80672129024, active=55040147456, inactive=258224357376, buffers=2955350016, cached=81837740032, shared=27197440, slab=8228605952), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.296805555555556, min=1200.0, max=3700.0), 'cores': 36}"
