num_extra_windows_in_parallel,load_time,preprocess_time,query_time,cumulative_time,original_rows,original_patients,result_rows,result_patients: ,notes
0,5.407424558000001,10.23806667900001,35.50961490400001,51.15510614100002,150000000,11538,36059,11383,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=155662106624, percent=61.5, used=244875722752, free=31623651328, active=60722536448, inactive=299959808000, buffers=3708018688, cached=123906990080, shared=27201536, slab=9991008256), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.3465000000000007, min=1200.0, max=3700.0), 'cores': 36}"
1,5.407424558000001,10.23806667900001,41.906059225999996,57.551550463000005,150000000,11538,36059,11383,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=155751800832, percent=61.5, used=244786028544, free=31713300480, active=60722561024, inactive=299964997632, buffers=3708039168, cached=123907014656, shared=27201536, slab=9990082560), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2715000000000005, min=1200.0, max=3700.0), 'cores': 36}"
2,5.407424558000001,10.23806667900001,46.23079464500001,61.87628588200002,150000000,11538,36059,11383,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=155698843648, percent=61.5, used=244838985728, free=31660388352, active=60722606080, inactive=299986034688, buffers=3708063744, cached=123906945024, shared=27201536, slab=9989988352), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.3714444444444451, min=1200.0, max=3700.0), 'cores': 36}"
4,5.407424558000001,10.23806667900001,52.74423340200002,68.38972463900004,150000000,11538,36059,11383,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=155647184896, percent=61.5, used=244890644480, free=31608713216, active=60722630656, inactive=299995975680, buffers=3708088320, cached=123906936832, shared=27201536, slab=9990107136), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.255611111111112, min=1200.0, max=3700.0), 'cores': 36}"
8,5.407424558000001,10.23806667900001,71.20529732699998,86.850788564,150000000,11538,36059,11383,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=155654369280, percent=61.5, used=244883460096, free=31614885888, active=60723195904, inactive=300034752512, buffers=3708125184, cached=123907911680, shared=27201536, slab=9990479872), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.374083333333334, min=1200.0, max=3700.0), 'cores': 36}"
16,5.407424558000001,10.23806667900001,112.982719599,128.62821083600002,150000000,11538,36059,11383,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=155669323776, percent=61.5, used=244868505600, free=31628857344, active=60723789824, inactive=300021059584, buffers=3708198912, cached=123908820992, shared=27201536, slab=9991000064), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.251805555555556, min=1200.0, max=3700.0), 'cores': 36}"
