CMDLINE python run_profiling.py
MEM 0.003906 1712963674.5702
MEM 22.394531 1712963674.6704
MEM 64.539062 1712963674.7706
MEM 79.949219 1712963674.8708
MEM 99.378906 1712963674.9711
MEM 180.250000 1712963675.0714
MEM 263.171875 1712963675.1718
MEM 285.851562 1712963675.2722
MEM 304.441406 1712963675.3725
MEM 354.421875 1712963675.4729
MEM 376.269531 1712963675.5733
MEM 384.207031 1712963675.6737
MEM 395.925781 1712963675.7741
MEM 405.632812 1712963675.8745
MEM 415.148438 1712963675.9749
MEM 421.566406 1712963676.0752
MEM 423.398438 1712963676.1756
MEM 431.335938 1712963676.2759
MEM 434.597656 1712963676.3763
MEM 442.484375 1712963676.4766
MEM 452.304688 1712963676.5769
MEM 1220.125000 1712963676.6773
MEM 1413.359375 1712963676.7778
MEM 1620.414062 1712963676.8783
MEM 2626.253906 1712963676.9786
MEM 3868.285156 1712963677.0790
MEM 5166.773438 1712963677.1794
MEM 6495.441406 1712963677.2797
MEM 7842.406250 1712963677.3801
MEM 9187.089844 1712963677.4804
MEM 10545.769531 1712963677.5808
MEM 11910.132812 1712963677.6811
MEM 13264.968750 1712963677.7815
MEM 14620.910156 1712963677.8819
MEM 15977.671875 1712963677.9822
MEM 17215.632812 1712963678.0826
MEM 18561.726562 1712963678.1830
MEM 19922.539062 1712963678.2833
MEM 21302.847656 1712963678.3837
MEM 22197.226562 1712963678.4840
MEM 22197.742188 1712963678.5843
MEM 22195.984375 1712963678.6846
MEM 22177.984375 1712963678.7849
MEM 21331.789062 1712963678.8853
MEM 22981.531250 1712963678.9858
MEM 24737.492188 1712963679.0863
MEM 26491.390625 1712963679.1868
MEM 28256.632812 1712963679.2873
MEM 30022.390625 1712963679.3877
MEM 31783.250000 1712963679.4882
MEM 33541.531250 1712963679.5887
MEM 35298.523438 1712963679.6893
MEM 36888.195312 1712963679.7896
MEM 38414.445312 1712963679.8900
MEM 38854.531250 1712963679.9905
MEM 39224.750000 1712963680.0908
MEM 39595.484375 1712963680.1912
MEM 39913.367188 1712963680.2915
MEM 39841.300781 1712963680.3918
MEM 38689.289062 1712963680.4922
MEM 37286.394531 1712963680.5925
MEM 36114.777344 1712963680.6928
MEM 35023.207031 1712963680.7932
MEM 33741.773438 1712963680.8936
MEM 32470.753906 1712963680.9939
MEM 31104.351562 1712963681.0942
MEM 29675.957031 1712963681.1946
MEM 28559.046875 1712963681.2949
MEM 27253.792969 1712963681.3953
