CMDLINE python run_profiling.py
MEM 0.003906 1712964050.1255
MEM 30.421875 1712964050.2258
MEM 69.085938 1712964050.3261
MEM 82.804688 1712964050.4264
MEM 103.378906 1712964050.5266
MEM 222.335938 1712964050.6269
MEM 268.320312 1712964050.7272
MEM 289.468750 1712964050.8275
MEM 311.097656 1712964050.9278
MEM 364.734375 1712964051.0281
MEM 377.562500 1712964051.1284
MEM 386.968750 1712964051.2287
MEM 401.640625 1712964051.3290
MEM 407.734375 1712964051.4294
MEM 418.203125 1712964051.5297
MEM 421.578125 1712964051.6299
MEM 426.957031 1712964051.7302
MEM 434.105469 1712964051.8305
MEM 436.398438 1712964051.9309
MEM 442.757812 1712964052.0312
MEM 681.074219 1712964052.1315
MEM 1194.398438 1712964052.2320
MEM 1465.636719 1712964052.3324
MEM 1941.925781 1712964052.4328
MEM 3008.625000 1712964052.5331
MEM 4273.933594 1712964052.6334
MEM 5593.523438 1712964052.7338
MEM 6823.628906 1712964052.8341
MEM 8169.488281 1712964052.9345
MEM 9520.542969 1712964053.0348
MEM 10868.640625 1712964053.1352
MEM 12201.203125 1712964053.2355
MEM 13567.722656 1712964053.3359
MEM 14926.539062 1712964053.4362
MEM 16271.503906 1712964053.5366
MEM 17654.578125 1712964053.6369
MEM 19035.164062 1712964053.7373
MEM 20411.042969 1712964053.8376
MEM 21740.195312 1712964053.9379
MEM 22202.949219 1712964054.0384
MEM 22202.910156 1712964054.1387
MEM 22202.632812 1712964054.2391
MEM 21852.976562 1712964054.3394
MEM 21598.445312 1712964054.4399
MEM 23323.468750 1712964054.5404
MEM 25092.320312 1712964054.6409
MEM 26859.109375 1712964054.7413
MEM 28632.343750 1712964054.8418
MEM 30395.007812 1712964054.9423
MEM 32164.632812 1712964055.0428
MEM 33937.351562 1712964055.1433
MEM 35711.617188 1712964055.2438
MEM 37311.085938 1712964055.3443
MEM 38559.156250 1712964055.4447
MEM 38910.296875 1712964055.5451
MEM 39260.921875 1712964055.6454
MEM 39610.000000 1712964055.7457
MEM 39879.156250 1712964055.8461
MEM 40005.742188 1712964055.9465
MEM 39140.386719 1712964056.0468
MEM 37853.785156 1712964056.1472
MEM 36575.726562 1712964056.2475
MEM 35526.539062 1712964056.3479
MEM 34365.199219 1712964056.4483
MEM 33007.347656 1712964056.5486
MEM 31763.894531 1712964056.6490
MEM 30281.476562 1712964056.7494
MEM 29069.218750 1712964056.8497
MEM 27906.656250 1712964056.9501
MEM 26490.441406 1712964057.0505
MEM 25274.183594 1712964057.1509
MEM 25218.023438 1712964057.2512
MEM 25308.921875 1712964057.3517
MEM 24709.542969 1712964057.4520
MEM 25774.589844 1712964057.5524
MEM 27130.324219 1712964057.6528
MEM 29057.730469 1712964057.7531
MEM 30982.804688 1712964057.8534
MEM 32890.328125 1712964057.9537
MEM 34605.218750 1712964058.0541
MEM 35325.839844 1712964058.1545
MEM 35622.031250 1712964058.2548
MEM 35833.406250 1712964058.3552
MEM 35924.082031 1712964058.4556
MEM 35438.648438 1712964058.5559
MEM 34748.625000 1712964058.6562
MEM 35467.652344 1712964058.7566
MEM 36034.433594 1712964058.8570
MEM 36069.511719 1712964058.9573
MEM 35798.476562 1712964059.0577
MEM 35250.078125 1712964059.1580
MEM 34748.425781 1712964059.2583
MEM 34438.777344 1712964059.3585
MEM 33893.722656 1712964059.4588
MEM 33461.394531 1712964059.5591
MEM 33039.074219 1712964059.6593
MEM 32497.460938 1712964059.7596
MEM 32210.753906 1712964059.8599
MEM 32207.738281 1712964059.9602
MEM 31700.742188 1712964060.0605
MEM 31356.425781 1712964060.1608
MEM 30799.902344 1712964060.2611
MEM 30469.886719 1712964060.3614
MEM 29874.332031 1712964060.4617
MEM 29592.601562 1712964060.5619
MEM 29293.289062 1712964060.6622
MEM 28846.800781 1712964060.7625
MEM 28421.308594 1712964060.8627
MEM 27815.492188 1712964060.9630
MEM 27810.476562 1712964061.0633
MEM 27511.972656 1712964061.1635
MEM 27511.125000 1712964061.2639
MEM 27177.480469 1712964061.3642
MEM 26723.355469 1712964061.4646
MEM 26564.886719 1712964061.5649
MEM 26202.632812 1712964061.6652
MEM 25826.128906 1712964061.7655
MEM 26402.964844 1712964061.8659
MEM 25814.093750 1712964061.9662
MEM 26458.625000 1712964062.0666
MEM 27444.554688 1712964062.1669
MEM 29005.863281 1712964062.2673
MEM 30617.609375 1712964062.3676
MEM 32198.960938 1712964062.4680
MEM 33785.917969 1712964062.5683
MEM 35324.054688 1712964062.6687
MEM 36809.300781 1712964062.7690
MEM 38275.859375 1712964062.8694
MEM 39742.316406 1712964062.9697
MEM 41208.281250 1712964063.0701
MEM 42614.582031 1712964063.1704
MEM 44002.960938 1712964063.2708
MEM 44597.316406 1712964063.3713
MEM 45687.835938 1712964063.4717
MEM 46435.074219 1712964063.5721
MEM 46775.089844 1712964063.6724
MEM 47090.929688 1712964063.7729
MEM 47400.402344 1712964063.8732
MEM 47591.511719 1712964063.9735
MEM 47748.421875 1712964064.0739
MEM 47902.679688 1712964064.1741
MEM 48018.031250 1712964064.2744
MEM 48111.011719 1712964064.3747
MEM 48083.406250 1712964064.4750
MEM 47210.285156 1712964064.5752
MEM 47052.890625 1712964064.6756
MEM 47194.171875 1712964064.7760
MEM 47337.773438 1712964064.8763
MEM 47484.984375 1712964064.9767
MEM 47635.289062 1712964065.0770
MEM 47783.015625 1712964065.1774
MEM 47932.804688 1712964065.2778
MEM 48080.789062 1712964065.3781
MEM 48149.367188 1712964065.4785
MEM 48244.101562 1712964065.5789
MEM 48370.945312 1712964065.6792
MEM 48497.015625 1712964065.7795
MEM 48623.085938 1712964065.8798
MEM 48744.515625 1712964065.9801
MEM 47861.015625 1712964066.0807
MEM 49438.570312 1712964066.1810
MEM 51166.171875 1712964066.2814
MEM 52894.289062 1712964066.3818
MEM 54617.250000 1712964066.4822
MEM 56339.179688 1712964066.5826
MEM 58053.117188 1712964066.6831
MEM 59771.437500 1712964066.7836
MEM 61489.500000 1712964066.8841
MEM 63196.476562 1712964066.9846
MEM 64814.507812 1712964067.0851
MEM 66273.210938 1712964067.1857
MEM 67239.234375 1712964067.2862
MEM 67930.429688 1712964067.3866
MEM 68567.484375 1712964067.4870
MEM 69131.835938 1712964067.5874
MEM 69447.140625 1712964067.6879
MEM 69716.554688 1712964067.7882
MEM 69932.085938 1712964067.8886
MEM 70014.328125 1712964067.9889
MEM 69505.703125 1712964068.0893
MEM 68299.089844 1712964068.1897
MEM 67018.421875 1712964068.2900
MEM 65649.042969 1712964068.3903
MEM 64225.460938 1712964068.4906
MEM 62758.199219 1712964068.5909
MEM 61267.089844 1712964068.6912
MEM 59875.035156 1712964068.7917
MEM 58432.613281 1712964068.8920
MEM 56932.062500 1712964068.9923
MEM 55520.371094 1712964069.0927
MEM 54010.996094 1712964069.1930
MEM 52404.531250 1712964069.2933
MEM 50919.386719 1712964069.3937
MEM 49410.914062 1712964069.4940
MEM 47922.390625 1712964069.5943
MEM 46953.292969 1712964069.6946
MEM 46943.792969 1712964069.7949
MEM 46968.343750 1712964069.8952
MEM 47037.953125 1712964069.9956
MEM 47111.429688 1712964070.0959
MEM 47184.132812 1712964070.1962
MEM 47257.093750 1712964070.2965
MEM 47329.281250 1712964070.3969
MEM 47402.242188 1712964070.4972
MEM 47474.687500 1712964070.5976
MEM 47548.164062 1712964070.6979
MEM 47621.382812 1712964070.7982
MEM 47694.859375 1712964070.8986
MEM 47768.335938 1712964070.9989
MEM 47840.265625 1712964071.0992
MEM 47914.000000 1712964071.1995
MEM 47987.476562 1712964071.2998
MEM 48059.921875 1712964071.4002
MEM 48131.851562 1712964071.5005
MEM 48204.296875 1712964071.6008
MEM 48277.000000 1712964071.7011
MEM 48348.156250 1712964071.8014
MEM 48421.117188 1712964071.9017
MEM 48496.398438 1712964072.0020
MEM 48571.164062 1712964072.1023
MEM 48644.898438 1712964072.2026
MEM 48718.632812 1712964072.3029
MEM 48793.398438 1712964072.4032
MEM 48866.101562 1712964072.5035
MEM 48940.609375 1712964072.6038
MEM 49014.343750 1712964072.7041
MEM 49088.593750 1712964072.8044
MEM 49162.843750 1712964072.9047
MEM 49237.609375 1712964073.0050
MEM 49312.375000 1712964073.1053
MEM 49385.851562 1712964073.2056
MEM 49459.328125 1712964073.3059
MEM 49532.546875 1712964073.4062
MEM 49607.054688 1712964073.5065
MEM 49682.335938 1712964073.6068
MEM 49757.101562 1712964073.7071
MEM 49832.382812 1712964073.8074
MEM 49906.890625 1712964073.9078
MEM 49981.398438 1712964074.0081
MEM 50056.164062 1712964074.1084
MEM 50066.976562 1712964074.2087
MEM 50068.007812 1712964074.3091
MEM 50069.296875 1712964074.4094
MEM 50070.328125 1712964074.5097
MEM 50071.359375 1712964074.6100
MEM 50072.390625 1712964074.7103
MEM 50073.679688 1712964074.8106
MEM 50074.710938 1712964074.9109
MEM 50075.742188 1712964075.0112
MEM 50077.031250 1712964075.1115
MEM 50078.062500 1712964075.2118
MEM 50079.093750 1712964075.3121
MEM 50080.125000 1712964075.4124
MEM 50081.414062 1712964075.5126
MEM 50082.445312 1712964075.6129
MEM 50083.476562 1712964075.7133
MEM 49486.117188 1712964075.8137
MEM 48530.910156 1712964075.9140
MEM 47467.199219 1712964076.0144
MEM 47012.496094 1712964076.1147
MEM 47122.582031 1712964076.2150
MEM 47230.863281 1712964076.3154
MEM 47339.660156 1712964076.4158
MEM 47450.003906 1712964076.5161
MEM 47529.960938 1712964076.6164
MEM 47599.312500 1712964076.7167
MEM 47672.015625 1712964076.8170
MEM 47743.945312 1712964076.9173
MEM 47816.132812 1712964077.0175
MEM 47887.031250 1712964077.1178
MEM 47958.445312 1712964077.2181
MEM 48030.632812 1712964077.3183
MEM 48102.562500 1712964077.4186
MEM 48174.492188 1712964077.5189
MEM 48246.937500 1712964077.6192
MEM 48319.382812 1712964077.7194
MEM 48390.281250 1712964077.8197
MEM 48462.468750 1712964077.9200
MEM 48534.656250 1712964078.0202
MEM 48606.843750 1712964078.1205
MEM 48679.289062 1712964078.2208
MEM 48751.218750 1712964078.3210
MEM 48824.179688 1712964078.4213
MEM 48895.335938 1712964078.5216
MEM 48967.523438 1712964078.6218
MEM 49040.742188 1712964078.7221
MEM 49114.476562 1712964078.8224
MEM 49188.210938 1712964078.9226
MEM 49261.429688 1712964079.0229
MEM 49333.359375 1712964079.1232
MEM 49407.093750 1712964079.2235
MEM 49480.570312 1712964079.3237
MEM 49553.789062 1712964079.4240
MEM 49627.007812 1712964079.5242
MEM 49700.226562 1712964079.6245
MEM 49773.445312 1712964079.7248
MEM 49845.632812 1712964079.8250
MEM 49919.367188 1712964079.9253
MEM 49992.328125 1712964080.0256
MEM 50065.031250 1712964080.1258
MEM 50138.507812 1712964080.2261
MEM 50212.242188 1712964080.3264
MEM 50286.234375 1712964080.4266
MEM 50359.453125 1712964080.5269
MEM 50433.703125 1712964080.6272
MEM 50507.953125 1712964080.7274
MEM 50582.203125 1712964080.8277
MEM 50639.171875 1712964080.9280
MEM 50640.203125 1712964081.0283
MEM 50641.234375 1712964081.1286
MEM 50642.523438 1712964081.2288
MEM 50643.554688 1712964081.3291
MEM 50644.585938 1712964081.4294
MEM 50645.617188 1712964081.5296
MEM 50646.906250 1712964081.6299
MEM 50647.937500 1712964081.7302
MEM 50648.968750 1712964081.8305
MEM 50650.257812 1712964081.9307
MEM 50651.289062 1712964082.0310
MEM 50652.320312 1712964082.1313
MEM 50653.609375 1712964082.2316
MEM 50654.640625 1712964082.3319
MEM 50655.671875 1712964082.4321
MEM 50543.156250 1712964082.5324
MEM 49633.968750 1712964082.6327
MEM 48611.132812 1712964082.7330
MEM 47607.792969 1712964082.8333
MEM 47635.347656 1712964082.9336
MEM 47745.691406 1712964083.0339
MEM 47855.777344 1712964083.1341
MEM 47965.863281 1712964083.2344
MEM 48075.949219 1712964083.3347
MEM 48177.265625 1712964083.4350
MEM 48326.023438 1712964083.5353
MEM 48475.812500 1712964083.6356
MEM 48625.601562 1712964083.7359
MEM 49871.726562 1712964083.8362
MEM 51498.781250 1712964083.9370
MEM 52775.464844 1712964084.0373
MEM 54610.058594 1712964084.1377
MEM 51468.632812 1712964084.2381
MEM 51697.835938 1712964084.3384
MEM 51676.402344 1712964084.4388
MEM 51842.914062 1712964084.5392
MEM 52169.621094 1712964084.6396
MEM 52539.312500 1712964084.7399
MEM 52674.976562 1712964084.8403
MEM 52503.640625 1712964084.9406
MEM 52305.121094 1712964085.0410
MEM 52233.988281 1712964085.1413
MEM 52190.996094 1712964085.2416
MEM 51041.359375 1712964085.3418
MEM 49839.410156 1712964085.4420
MEM 48653.359375 1712964085.5422
MEM 47550.425781 1712964085.6424
MEM 46533.097656 1712964085.7426
MEM 45911.191406 1712964085.8430
MEM 46025.906250 1712964085.9435
MEM 46164.613281 1712964086.0440
MEM 46312.742188 1712964086.1444
MEM 46735.914062 1712964086.2447
MEM 45648.605469 1712964086.3451
MEM 44825.910156 1712964086.4455
MEM 44976.597656 1712964086.5459
MEM 44993.035156 1712964086.6462
MEM 44983.605469 1712964086.7466
MEM 44802.503906 1712964086.8471
MEM 44907.300781 1712964086.9474
MEM 45012.382812 1712964087.0478
MEM 44409.187500 1712964087.1481
MEM 44714.246094 1712964087.2484
MEM 44708.257812 1712964087.3489
MEM 44698.980469 1712964087.4494
MEM 44742.562500 1712964087.5499
MEM 45012.785156 1712964087.6503
MEM 45673.761719 1712964087.7507
MEM 45297.500000 1712964087.8510
MEM 44928.558594 1712964087.9515
MEM 44991.171875 1712964088.0519
MEM 45322.957031 1712964088.1522
MEM 45426.074219 1712964088.2527
MEM 45482.843750 1712964088.3532
MEM 45358.617188 1712964088.4535
MEM 45417.695312 1712964088.5540
MEM 45408.773438 1712964088.6543
MEM 45428.304688 1712964088.7548
MEM 45498.171875 1712964088.8553
MEM 45511.945312 1712964088.9558
MEM 45541.863281 1712964089.0561
MEM 45536.707031 1712964089.1566
MEM 45605.875000 1712964089.2571
MEM 45134.039062 1712964089.3574
MEM 45332.085938 1712964089.4577
MEM 45452.929688 1712964089.5582
MEM 45285.652344 1712964089.6587
MEM 44449.187500 1712964089.7591
MEM 44534.398438 1712964089.8596
MEM 44541.218750 1712964089.9599
MEM 44682.402344 1712964090.0604
MEM 44714.996094 1712964090.1609
MEM 44924.792969 1712964090.2617
MEM 44789.851562 1712964090.3623
MEM 45041.992188 1712964090.4627
MEM 44714.179688 1712964090.5630
MEM 44320.054688 1712964090.6634
MEM 44384.609375 1712964090.7639
MEM 44506.039062 1712964090.8642
MEM 44521.582031 1712964090.9647
MEM 44621.238281 1712964091.0653
MEM 44652.609375 1712964091.1658
MEM 44693.132812 1712964091.2663
MEM 44827.292969 1712964091.3667
MEM 44559.289062 1712964091.4671
MEM 44554.230469 1712964091.5674
MEM 44104.417969 1712964091.6678
MEM 44210.121094 1712964091.7682
MEM 44209.750000 1712964091.8685
MEM 44341.773438 1712964091.9690
MEM 44377.406250 1712964092.0695
MEM 44590.800781 1712964092.1700
MEM 44445.523438 1712964092.2705
MEM 44703.078125 1712964092.3708
MEM 44381.707031 1712964092.4713
MEM 44271.472656 1712964092.5716
MEM 43988.878906 1712964092.6720
MEM 44110.566406 1712964092.7724
MEM 44118.781250 1712964092.8728
MEM 44144.914062 1712964092.9733
MEM 44266.515625 1712964093.0738
MEM 44309.644531 1712964093.1742
MEM 44393.281250 1712964093.2748
MEM 44214.859375 1712964093.3751
MEM 44210.808594 1712964093.4755
MEM 43885.929688 1712964093.5758
MEM 43803.402344 1712964093.6763
MEM 43925.601562 1712964093.7767
MEM 43958.406250 1712964093.8771
MEM 44003.617188 1712964093.9777
MEM 44150.210938 1712964094.0781
MEM 44193.695312 1712964094.1786
MEM 44309.035156 1712964094.2790
MEM 44077.515625 1712964094.3793
MEM 44078.855469 1712964094.4796
MEM 43648.949219 1712964094.5801
MEM 43763.156250 1712964094.6805
MEM 43755.843750 1712964094.7809
MEM 43914.773438 1712964094.8814
MEM 43958.671875 1712964094.9819
MEM 44172.210938 1712964095.0825
MEM 44023.437500 1712964095.1830
MEM 44282.023438 1712964095.2833
MEM 44013.960938 1712964095.3838
MEM 43943.222656 1712964095.4841
MEM 43694.625000 1712964095.5846
MEM 43819.664062 1712964095.6849
MEM 43832.921875 1712964095.7854
MEM 43885.644531 1712964095.8859
MEM 44022.500000 1712964095.9864
MEM 44066.554688 1712964096.0869
MEM 44160.597656 1712964096.1874
MEM 43964.300781 1712964096.2878
MEM 44004.113281 1712964096.3881
MEM 43646.253906 1712964096.4884
MEM 43774.726562 1712964096.5889
MEM 43753.414062 1712964096.6894
MEM 43942.367188 1712964096.7899
MEM 44020.589844 1712964096.8904
MEM 44152.546875 1712964096.9907
MEM 44117.886719 1712964097.0911
MEM 44205.667969 1712964097.1914
MEM 44014.273438 1712964097.2917
MEM 43677.710938 1712964097.3922
MEM 43754.875000 1712964097.4927
MEM 43797.449219 1712964097.5930
MEM 43915.753906 1712964097.6935
MEM 44084.273438 1712964097.7940
MEM 44138.445312 1712964097.8944
MEM 44100.847656 1712964097.9949
MEM 44290.378906 1712964098.0953
MEM 44015.273438 1712964098.1959
MEM 43979.839844 1712964098.2963
MEM 43738.421875 1712964098.3968
MEM 43861.910156 1712964098.4971
MEM 43902.292969 1712964098.5976
MEM 43952.269531 1712964098.6981
MEM 44101.789062 1712964098.7986
MEM 44146.046875 1712964098.8991
MEM 44265.773438 1712964098.9995
MEM 44035.117188 1712964099.1000
MEM 44035.117188 1712964099.2005
MEM 43685.714844 1712964099.3008
MEM 43685.582031 1712964099.4013
MEM 43787.417969 1712964099.5017
MEM 43780.382812 1712964099.6021
MEM 43943.343750 1712964099.7026
MEM 44010.101562 1712964099.8030
MEM 44220.828125 1712964099.9038
MEM 44076.527344 1712964100.0043
MEM 44334.597656 1712964100.1046
MEM 44040.437500 1712964100.2050
MEM 43919.292969 1712964100.3054
MEM 43710.042969 1712964100.4058
MEM 43830.441406 1712964100.5062
MEM 43888.390625 1712964100.6066
MEM 43933.417969 1712964100.7071
MEM 44072.566406 1712964100.8076
MEM 44112.195312 1712964100.9081
MEM 44201.500000 1712964101.0084
MEM 44009.281250 1712964101.1088
MEM 44026.812500 1712964101.2091
MEM 43665.613281 1712964101.3096
MEM 43776.214844 1712964101.4100
MEM 43772.406250 1712964101.5103
MEM 43917.835938 1712964101.6108
MEM 44096.875000 1712964101.7113
MEM 44131.312500 1712964101.8117
MEM 44116.878906 1712964101.9122
MEM 44294.441406 1712964102.0127
MEM 44020.253906 1712964102.1132
MEM 43970.113281 1712964102.2136
MEM 43694.191406 1712964102.3140
MEM 43817.683594 1712964102.4144
MEM 43773.359375 1712964102.5148
MEM 43906.050781 1712964102.6153
MEM 44050.359375 1712964102.7158
MEM 44097.175781 1712964102.8163
MEM 44163.789062 1712964102.9167
MEM 44077.351562 1712964103.0170
MEM 44023.917969 1712964103.1174
MEM 43666.312500 1712964103.2178
MEM 43775.363281 1712964103.3183
MEM 43774.914062 1712964103.4187
MEM 43943.425781 1712964103.5192
MEM 44011.316406 1712964103.6197
MEM 44206.207031 1712964103.7202
MEM 44096.425781 1712964103.8206
MEM 44335.417969 1712964103.9210
MEM 44021.746094 1712964104.0214
MEM 43751.433594 1712964104.1219
MEM 43729.292969 1712964104.2224
MEM 43852.785156 1712964104.3227
MEM 43885.941406 1712964104.4232
MEM 44004.132812 1712964104.5237
MEM 44090.843750 1712964104.6242
MEM 44131.847656 1712964104.7247
MEM 44270.906250 1712964104.8252
MEM 44013.472656 1712964104.9256
MEM 44006.886719 1712964105.0260
MEM 43701.960938 1712964105.1264
MEM 43822.359375 1712964105.2268
MEM 43835.886719 1712964105.3273
MEM 43922.691406 1712964105.4278
MEM 44048.246094 1712964105.5282
MEM 44057.585938 1712964105.6286
MEM 44107.558594 1712964105.7291
MEM 44222.386719 1712964105.8294
MEM 43995.882812 1712964105.9299
MEM 43963.933594 1712964106.0303
MEM 43657.156250 1712964106.1307
MEM 43294.906250 1712964106.2312
MEM 43066.957031 1712964106.3316
MEM 42005.929688 1712964106.4320
MEM 40301.832031 1712964106.5323
MEM 38517.148438 1712964106.6325
MEM 36764.832031 1712964106.7327
MEM 35050.390625 1712964106.8330
MEM 33315.949219 1712964106.9333
MEM 31593.980469 1712964107.0337
MEM 29714.500000 1712964107.1340
MEM 27950.890625 1712964107.2343
MEM 26263.769531 1712964107.3346
MEM 24492.996094 1712964107.4349
MEM 22738.953125 1712964107.5350
MEM 21042.886719 1712964107.6352
MEM 19271.050781 1712964107.7354
MEM 17723.796875 1712964107.8356
MEM 16053.753906 1712964107.9357
MEM 14407.929688 1712964108.0360
MEM 12789.304688 1712964108.1361
MEM 11183.800781 1712964108.2363
MEM 9601.558594 1712964108.3365
MEM 7921.800781 1712964108.4367
MEM 6289.089844 1712964108.5369
MEM 4708.910156 1712964108.6372
MEM 2944.867188 1712964108.7374
MEM 1286.855469 1712964108.8376
MEM 920.265625 1712964108.9380
MEM 920.265625 1712964109.0383
MEM 920.328125 1712964109.1387
MEM 931.093750 1712964109.2390
MEM 0.000000 1712964109.3393
MEM 0.000000 1712964109.4396
