CMDLINE python run_profiling.py
MEM 0.003906 1712967543.4752
MEM 31.101562 1712967543.5754
MEM 70.468750 1712967543.6757
MEM 85.433594 1712967543.7760
MEM 105.207031 1712967543.8763
MEM 207.609375 1712967543.9767
MEM 269.156250 1712967544.0770
MEM 291.781250 1712967544.1774
MEM 310.195312 1712967544.2777
MEM 357.996094 1712967544.3780
MEM 379.890625 1712967544.4783
MEM 388.261719 1712967544.5786
MEM 399.777344 1712967544.6789
MEM 408.957031 1712967544.7793
MEM 418.949219 1712967544.8796
MEM 425.089844 1712967544.9799
MEM 427.164062 1712967545.0802
MEM 434.886719 1712967545.1805
MEM 438.156250 1712967545.2808
MEM 446.042969 1712967545.3811
MEM 453.003906 1712967545.4814
MEM 465.171875 1712967545.5818
MEM 471.113281 1712967545.6821
MEM 521.371094 1712967545.7825
MEM 1059.257812 1712967545.8828
MEM 1459.898438 1712967545.9832
MEM 1665.742188 1712967546.0837
MEM 2693.074219 1712967546.1841
MEM 3953.121094 1712967546.2844
MEM 5265.371094 1712967546.3848
MEM 6603.554688 1712967546.4851
MEM 7962.734375 1712967546.5854
MEM 9339.218750 1712967546.6858
MEM 10704.140625 1712967546.7861
MEM 12080.593750 1712967546.8865
MEM 13451.148438 1712967546.9868
MEM 14824.796875 1712967547.0872
MEM 16201.550781 1712967547.1875
MEM 17577.105469 1712967547.2879
MEM 18956.539062 1712967547.3883
MEM 20349.773438 1712967547.4886
MEM 21708.640625 1712967547.5890
MEM 22228.093750 1712967547.6895
MEM 22228.312500 1712967547.7898
MEM 22227.621094 1712967547.8901
MEM 21911.039062 1712967547.9904
MEM 21604.816406 1712967548.0909
MEM 23325.972656 1712967548.1914
MEM 25096.113281 1712967548.2919
MEM 26870.121094 1712967548.3924
MEM 28638.972656 1712967548.4929
MEM 30412.722656 1712967548.5935
MEM 32188.277344 1712967548.6940
MEM 33957.902344 1712967548.7944
MEM 35732.683594 1712967548.8949
MEM 37366.699219 1712967548.9954
MEM 38802.199219 1712967549.0959
MEM 39174.222656 1712967549.1962
MEM 39547.535156 1712967549.2966
MEM 39921.363281 1712967549.3969
MEM 39380.777344 1712967549.4973
MEM 38179.101562 1712967549.5977
MEM 36799.093750 1712967549.6980
MEM 35713.203125 1712967549.7984
MEM 34636.597656 1712967549.8988
MEM 33295.234375 1712967549.9993
MEM 32101.453125 1712967550.0996
MEM 30581.453125 1712967550.2001
MEM 29307.492188 1712967550.3005
MEM 28174.390625 1712967550.4009
MEM 26805.457031 1712967550.5013
MEM 25578.089844 1712967550.6017
MEM 24926.679688 1712967550.7022
MEM 25372.425781 1712967550.8027
MEM 24798.546875 1712967550.9031
MEM 25126.320312 1712967551.0035
MEM 26408.136719 1712967551.1039
MEM 28337.863281 1712967551.2042
MEM 30274.292969 1712967551.3046
MEM 32202.929688 1712967551.4049
MEM 34098.933594 1712967551.5053
MEM 35283.660156 1712967551.6057
MEM 35608.488281 1712967551.7060
MEM 35890.035156 1712967551.8064
MEM 36001.742188 1712967551.9067
MEM 35147.261719 1712967552.0070
MEM 34922.074219 1712967552.1073
MEM 35795.554688 1712967552.2077
MEM 36098.343750 1712967552.3081
MEM 35887.015625 1712967552.4085
MEM 35356.593750 1712967552.5089
MEM 34821.652344 1712967552.6093
MEM 34519.703125 1712967552.7097
MEM 34019.550781 1712967552.8101
MEM 33492.582031 1712967552.9104
MEM 33183.250000 1712967553.0107
MEM 32702.109375 1712967553.1111
MEM 32191.125000 1712967553.2114
MEM 31869.667969 1712967553.3117
MEM 31589.359375 1712967553.4120
MEM 31295.000000 1712967553.5123
MEM 30749.042969 1712967553.6126
MEM 30315.738281 1712967553.7131
MEM 29857.269531 1712967553.8135
MEM 29279.585938 1712967553.9138
MEM 28846.882812 1712967554.0142
MEM 28387.417969 1712967554.1145
MEM 27838.449219 1712967554.2149
MEM 27546.222656 1712967554.3151
MEM 27234.082031 1712967554.4154
MEM 26918.652344 1712967554.5158
MEM 26456.738281 1712967554.6161
MEM 26617.511719 1712967554.7164
MEM 26493.328125 1712967554.8168
MEM 26413.652344 1712967554.9173
MEM 27083.191406 1712967555.0177
MEM 28496.816406 1712967555.1182
MEM 30117.082031 1712967555.2186
MEM 31711.664062 1712967555.3190
MEM 33305.167969 1712967555.4193
MEM 34894.523438 1712967555.5197
MEM 36407.222656 1712967555.6200
MEM 37875.976562 1712967555.7204
MEM 39338.339844 1712967555.8207
MEM 40802.898438 1712967555.9211
MEM 42264.980469 1712967556.0214
MEM 43727.492188 1712967556.1217
MEM 44452.078125 1712967556.2223
MEM 45463.816406 1712967556.3227
MEM 46340.457031 1712967556.4232
MEM 46754.269531 1712967556.5236
MEM 47057.351562 1712967556.6240
MEM 47359.691406 1712967556.7243
MEM 47660.691406 1712967556.8248
MEM 47860.925781 1712967556.9252
MEM 47961.761719 1712967557.0256
MEM 48013.769531 1712967557.1259
MEM 48053.019531 1712967557.2262
MEM 48092.097656 1712967557.3266
MEM 48131.992188 1712967557.4269
