CMDLINE python run_profiling.py
MEM 0.003906 1712965643.4350
MEM 31.039062 1712965643.5353
MEM 70.468750 1712965643.6356
MEM 85.347656 1712965643.7359
MEM 106.070312 1712965643.8362
MEM 222.300781 1712965643.9365
MEM 269.703125 1712965644.0369
MEM 291.273438 1712965644.1373
MEM 308.093750 1712965644.2376
MEM 357.234375 1712965644.3379
MEM 375.464844 1712965644.4383
MEM 384.609375 1712965644.5388
MEM 394.296875 1712965644.6391
MEM 407.441406 1712965644.7394
MEM 415.031250 1712965644.8397
MEM 423.058594 1712965644.9400
MEM 424.660156 1712965645.0403
MEM 432.687500 1712965645.1406
MEM 436.972656 1712965645.2409
MEM 440.539062 1712965645.3412
MEM 447.753906 1712965645.4416
MEM 461.097656 1712965645.5419
MEM 470.476562 1712965645.6422
MEM 473.203125 1712965645.7425
MEM 1127.695312 1712965645.8429
MEM 1383.492188 1712965645.9433
MEM 1541.980469 1712965646.0437
MEM 2220.089844 1712965646.1441
MEM 3387.664062 1712965646.2445
MEM 4678.664062 1712965646.3448
MEM 6014.382812 1712965646.4452
MEM 7368.902344 1712965646.5456
MEM 8723.843750 1712965646.6459
MEM 10029.757812 1712965646.7463
MEM 11366.109375 1712965646.8467
MEM 12659.722656 1712965646.9470
MEM 13971.652344 1712965647.0474
MEM 15304.460938 1712965647.1477
MEM 16668.671875 1712965647.2481
MEM 18047.773438 1712965647.3485
MEM 19426.898438 1712965647.4488
MEM 20799.593750 1712965647.5492
MEM 22024.144531 1712965647.6496
MEM 22218.460938 1712965647.7498
MEM 22218.289062 1712965647.8501
MEM 22216.535156 1712965647.9504
MEM 20919.527344 1712965648.0507
MEM 22212.199219 1712965648.1512
MEM 24004.253906 1712965648.2517
MEM 25802.496094 1712965648.3522
MEM 27597.128906 1712965648.4526
MEM 29392.277344 1712965648.5531
MEM 31190.261719 1712965648.6534
MEM 32994.433594 1712965648.7538
MEM 34792.933594 1712965648.8542
MEM 36588.339844 1712965648.9546
MEM 38184.714844 1712965649.0550
MEM 38635.886719 1712965649.1554
MEM 38980.582031 1712965649.2558
MEM 39324.246094 1712965649.3562
MEM 39666.878906 1712965649.4566
MEM 39966.457031 1712965649.5569
MEM 39248.785156 1712965649.6574
MEM 37847.421875 1712965649.7578
MEM 36623.031250 1712965649.8583
MEM 35532.984375 1712965649.9587
MEM 34305.363281 1712965650.0591
MEM 32973.578125 1712965650.1595
MEM 31437.593750 1712965650.2598
MEM 30166.734375 1712965650.3601
MEM 28950.582031 1712965650.4606
MEM 27584.890625 1712965650.5609
MEM 26400.152344 1712965650.6613
MEM 25142.414062 1712965650.7617
MEM 25191.503906 1712965650.8621
MEM 25297.574219 1712965650.9624
MEM 24660.738281 1712965651.0629
MEM 25846.703125 1712965651.1633
MEM 27278.152344 1712965651.2637
MEM 29198.082031 1712965651.3640
MEM 31095.800781 1712965651.4644
MEM 33010.859375 1712965651.5648
MEM 34792.660156 1712965651.6651
MEM 35506.839844 1712965651.7654
MEM 35810.457031 1712965651.8658
MEM 36018.089844 1712965651.9661
MEM 35677.214844 1712965652.0665
MEM 34863.781250 1712965652.1669
MEM 35493.027344 1712965652.2673
MEM 36083.343750 1712965652.3676
MEM 36176.699219 1712965652.4681
MEM 35930.656250 1712965652.5685
MEM 35465.644531 1712965652.6689
MEM 35122.335938 1712965652.7694
MEM 34599.964844 1712965652.8698
MEM 34065.574219 1712965652.9703
MEM 33688.468750 1712965653.0707
MEM 33232.816406 1712965653.1711
MEM 32692.855469 1712965653.2714
MEM 32277.910156 1712965653.3718
MEM 31888.562500 1712965653.4721
MEM 31343.179688 1712965653.5725
MEM 31010.382812 1712965653.6730
MEM 30457.738281 1712965653.7734
MEM 29883.832031 1712965653.8738
MEM 29511.570312 1712965653.9741
MEM 29028.128906 1712965654.0745
MEM 28477.726562 1712965654.1749
MEM 28104.132812 1712965654.2753
MEM 27625.664062 1712965654.3757
MEM 27038.468750 1712965654.4761
MEM 26614.496094 1712965654.5765
MEM 26669.929688 1712965654.6768
MEM 26687.289062 1712965654.7773
MEM 26380.433594 1712965654.8777
MEM 27015.425781 1712965654.9781
MEM 28167.238281 1712965655.0786
MEM 29789.667969 1712965655.1791
MEM 31424.500000 1712965655.2796
MEM 33037.871094 1712965655.3801
MEM 34656.054688 1712965655.4807
MEM 36210.769531 1712965655.5812
MEM 37686.300781 1712965655.6817
MEM 39159.804688 1712965655.7821
MEM 40635.070312 1712965655.8825
MEM 42111.203125 1712965655.9828
MEM 43533.710938 1712965656.0833
MEM 44665.445312 1712965656.1838
MEM 45399.835938 1712965656.2843
MEM 46436.527344 1712965656.3847
MEM 46957.058594 1712965656.4852
MEM 47281.093750 1712965656.5856
MEM 47589.359375 1712965656.6860
MEM 47896.156250 1712965656.7864
MEM 48126.003906 1712965656.8868
MEM 48300.464844 1712965656.9871
MEM 48417.144531 1712965657.0875
MEM 48505.664062 1712965657.1878
MEM 48554.652344 1712965657.2881
MEM 48581.964844 1712965657.3884
MEM 48609.585938 1712965657.4888
MEM 48637.203125 1712965657.5891
MEM 48645.378906 1712965657.6894
MEM 47924.410156 1712965657.7897
MEM 47522.804688 1712965657.8901
MEM 47662.281250 1712965657.9904
MEM 47803.562500 1712965658.0908
MEM 47948.710938 1712965658.1912
MEM 48097.468750 1712965658.2916
MEM 48244.679688 1712965658.3919
MEM 48391.117188 1712965658.4923
MEM 48540.132812 1712965658.5926
MEM 48645.578125 1712965658.6931
MEM 48708.601562 1712965658.7936
MEM 48836.218750 1712965658.8941
MEM 48965.382812 1712965658.9944
MEM 49096.609375 1712965659.0947
MEM 49222.421875 1712965659.1951
MEM 48151.968750 1712965659.2956
MEM 49665.328125 1712965659.3960
MEM 51438.046875 1712965659.4964
MEM 53210.765625 1712965659.5967
MEM 54986.835938 1712965659.6972
MEM 56763.679688 1712965659.7977
MEM 58531.757812 1712965659.8983
MEM 60303.703125 1712965659.9988
MEM 62074.617188 1712965660.0993
MEM 63838.570312 1712965660.1998
MEM 65571.843750 1712965660.3003
MEM 67125.937500 1712965660.4009
MEM 68104.851562 1712965660.5014
MEM 68782.640625 1712965660.6019
MEM 69404.484375 1712965660.7023
MEM 69901.031250 1712965660.8028
MEM 70238.250000 1712965660.9032
MEM 70416.398438 1712965661.0036
MEM 70540.921875 1712965661.1040
MEM 69513.664062 1712965661.2044
MEM 68178.832031 1712965661.3047
MEM 66849.484375 1712965661.4050
MEM 65553.289062 1712965661.5054
MEM 64065.835938 1712965661.6057
MEM 62556.468750 1712965661.7060
MEM 61069.007812 1712965661.8063
MEM 59635.402344 1712965661.9066
MEM 58088.148438 1712965662.0069
MEM 56676.457031 1712965662.1072
MEM 55222.171875 1712965662.2075
MEM 53635.636719 1712965662.3078
MEM 52264.882812 1712965662.4081
MEM 50793.398438 1712965662.5084
MEM 49169.015625 1712965662.6086
MEM 47644.875000 1712965662.7090
MEM 47440.164062 1712965662.8094
MEM 47447.660156 1712965662.9097
MEM 47495.097656 1712965663.0101
MEM 47568.832031 1712965663.1104
MEM 47641.792969 1712965663.2108
MEM 47715.011719 1712965663.3111
MEM 47787.972656 1712965663.4115
MEM 47861.191406 1712965663.5118
MEM 47934.152344 1712965663.6122
MEM 48007.628906 1712965663.7125
MEM 48080.847656 1712965663.8128
MEM 48154.324219 1712965663.9132
MEM 48226.769531 1712965664.0136
MEM 48299.730469 1712965664.1139
MEM 48372.691406 1712965664.2143
MEM 48444.363281 1712965664.3146
MEM 48516.292969 1712965664.4149
MEM 48589.511719 1712965664.5153
MEM 48661.441406 1712965664.6156
MEM 48735.175781 1712965664.7159
MEM 48808.136719 1712965664.8162
MEM 48881.097656 1712965664.9166
MEM 48954.316406 1712965665.0169
MEM 49027.535156 1712965665.1172
MEM 49101.011719 1712965665.2176
MEM 49174.230469 1712965665.3179
MEM 49246.675781 1712965665.4183
MEM 49320.925781 1712965665.5186
MEM 49395.433594 1712965665.6189
MEM 49469.425781 1712965665.7193
MEM 49543.675781 1712965665.8196
MEM 49618.957031 1712965665.9199
MEM 49692.949219 1712965666.0202
MEM 49766.941406 1712965666.1205
MEM 49840.675781 1712965666.2209
MEM 49914.152344 1712965666.3212
MEM 49987.113281 1712965666.4215
MEM 50060.847656 1712965666.5219
MEM 50134.839844 1712965666.6222
MEM 50209.089844 1712965666.7226
MEM 50282.566406 1712965666.8229
MEM 50355.785156 1712965666.9232
MEM 50429.261719 1712965667.0236
MEM 50503.253906 1712965667.1239
MEM 50562.175781 1712965667.2243
MEM 50562.949219 1712965667.3246
MEM 50563.980469 1712965667.4250
MEM 50565.011719 1712965667.5253
MEM 50565.785156 1712965667.6256
MEM 50566.816406 1712965667.7259
MEM 50567.589844 1712965667.8262
MEM 50568.675781 1712965667.9265
MEM 50569.273438 1712965668.0269
MEM 50569.863281 1712965668.1272
MEM 50570.468750 1712965668.2276
MEM 50571.066406 1712965668.3279
MEM 50571.632812 1712965668.4283
MEM 50572.257812 1712965668.5286
MEM 50572.871094 1712965668.6289
MEM 50573.472656 1712965668.7292
MEM 50574.074219 1712965668.8296
MEM 50574.695312 1712965668.9299
MEM 50575.312500 1712965669.0303
MEM 50575.898438 1712965669.1307
MEM 50576.519531 1712965669.2310
MEM 50577.140625 1712965669.3314
MEM 50577.761719 1712965669.4317
MEM 50578.382812 1712965669.5320
MEM 50579.000000 1712965669.6324
MEM 50579.617188 1712965669.7327
MEM 50049.617188 1712965669.8330
MEM 49102.546875 1712965669.9334
MEM 48101.171875 1712965670.0338
MEM 47510.371094 1712965670.1341
MEM 47621.230469 1712965670.2345
MEM 47732.089844 1712965670.3349
MEM 47842.949219 1712965670.4353
MEM 47953.808594 1712965670.5357
MEM 48029.898438 1712965670.6360
MEM 48101.054688 1712965670.7363
MEM 48175.046875 1712965670.8367
MEM 48248.007812 1712965670.9370
MEM 48320.968750 1712965671.0373
MEM 48393.671875 1712965671.1377
MEM 48466.375000 1712965671.2380
MEM 48539.335938 1712965671.3383
MEM 48612.554688 1712965671.4386
MEM 48685.515625 1712965671.5390
MEM 48758.476562 1712965671.6393
MEM 48831.437500 1712965671.7397
MEM 48904.125000 1712965671.8400
MEM 48977.082031 1712965671.9404
MEM 49049.523438 1712965672.0407
MEM 49122.222656 1712965672.1410
MEM 49195.945312 1712965672.2414
MEM 49269.929688 1712965672.3417
MEM 49344.691406 1712965672.4421
MEM 49417.648438 1712965672.5424
MEM 49490.347656 1712965672.6427
MEM 49563.558594 1712965672.7430
MEM 49636.515625 1712965672.8433
MEM 49709.214844 1712965672.9437
MEM 49782.171875 1712965673.0440
MEM 49855.898438 1712965673.1443
MEM 49929.628906 1712965673.2447
MEM 50003.617188 1712965673.3450
MEM 50077.347656 1712965673.4453
MEM 50150.816406 1712965673.5457
MEM 50224.546875 1712965673.6460
MEM 50298.792969 1712965673.7464
MEM 50372.007812 1712965673.8467
MEM 50445.992188 1712965673.9470
MEM 50520.238281 1712965674.0473
MEM 50594.742188 1712965674.1477
MEM 50668.472656 1712965674.2481
MEM 50742.718750 1712965674.3484
MEM 50816.187500 1712965674.4487
MEM 50890.175781 1712965674.5490
MEM 50964.164062 1712965674.6493
MEM 51037.894531 1712965674.7496
MEM 51111.621094 1712965674.8499
MEM 51135.132812 1712965674.9503
MEM 51136.164062 1712965675.0506
MEM 51137.195312 1712965675.1509
MEM 51137.968750 1712965675.2513
MEM 51139.000000 1712965675.3516
MEM 51140.031250 1712965675.4519
MEM 51140.804688 1712965675.5523
MEM 51141.835938 1712965675.6526
MEM 51142.867188 1712965675.7530
MEM 51143.640625 1712965675.8533
MEM 51144.671875 1712965675.9537
MEM 51145.703125 1712965676.0540
MEM 51146.734375 1712965676.1543
MEM 51147.507812 1712965676.2547
MEM 51148.539062 1712965676.3550
MEM 51149.570312 1712965676.4553
MEM 51150.343750 1712965676.5556
MEM 51151.375000 1712965676.6560
MEM 51152.406250 1712965676.7563
MEM 50281.210938 1712965676.8567
MEM 49296.257812 1712965676.9571
MEM 48303.625000 1712965677.0574
MEM 48109.148438 1712965677.1578
MEM 48220.265625 1712965677.2581
MEM 48331.125000 1712965677.3585
MEM 48441.726562 1712965677.4588
MEM 48552.843750 1712965677.5592
MEM 48664.398438 1712965677.6595
MEM 48814.703125 1712965677.7599
MEM 48964.750000 1712965677.8602
MEM 49115.312500 1712965677.9606
MEM 50109.570312 1712965678.0609
MEM 51652.074219 1712965678.1614
MEM 52392.457031 1712965678.2617
MEM 54250.769531 1712965678.3621
MEM 53069.292969 1712965678.4625
MEM 51332.664062 1712965678.5629
MEM 51462.542969 1712965678.6633
MEM 51771.406250 1712965678.7637
MEM 51864.796875 1712965678.8641
MEM 52522.695312 1712965678.9645
MEM 52559.781250 1712965679.0649
MEM 52539.929688 1712965679.1653
MEM 52524.320312 1712965679.2657
MEM 52233.968750 1712965679.3662
MEM 52222.015625 1712965679.4666
MEM 52225.625000 1712965679.5670
MEM 51615.101562 1712965679.6674
MEM 50440.625000 1712965679.7679
MEM 49264.863281 1712965679.8683
MEM 48207.886719 1712965679.9687
MEM 47180.601562 1712965680.0690
MEM 46109.472656 1712965680.1695
MEM 45949.878906 1712965680.2700
MEM 46072.890625 1712965680.3704
MEM 46213.687500 1712965680.4709
MEM 46363.769531 1712965680.5713
MEM 46711.187500 1712965680.6717
MEM 46106.550781 1712965680.7722
MEM 44919.691406 1712965680.8724
MEM 44906.613281 1712965680.9727
MEM 44987.953125 1712965681.0731
MEM 44971.281250 1712965681.1734
MEM 44880.953125 1712965681.2738
MEM 44880.359375 1712965681.3743
MEM 44996.710938 1712965681.4747
MEM 44559.925781 1712965681.5751
MEM 44680.714844 1712965681.6755
MEM 44715.230469 1712965681.7760
MEM 44662.589844 1712965681.8764
MEM 44691.480469 1712965681.9769
MEM 44715.937500 1712965682.0772
MEM 45332.058594 1712965682.1776
MEM 45572.660156 1712965682.2780
MEM 45162.582031 1712965682.3783
MEM 44914.898438 1712965682.4788
MEM 44970.917969 1712965682.5792
MEM 45340.019531 1712965682.6797
MEM 45403.296875 1712965682.7802
MEM 45434.496094 1712965682.8807
MEM 45473.851562 1712965682.9811
MEM 45411.988281 1712965683.0815
MEM 45451.015625 1712965683.1819
MEM 45440.632812 1712965683.2824
MEM 45518.117188 1712965683.3829
MEM 45513.121094 1712965683.4833
MEM 45551.000000 1712965683.5838
MEM 45571.714844 1712965683.6843
MEM 45611.097656 1712965683.7848
MEM 45230.179688 1712965683.8852
MEM 45324.191406 1712965683.9856
MEM 45482.347656 1712965684.0861
MEM 45411.238281 1712965684.1864
MEM 44611.855469 1712965684.2868
MEM 44555.085938 1712965684.3873
MEM 44681.472656 1712965684.4877
MEM 44697.371094 1712965684.5881
MEM 44753.542969 1712965684.6887
MEM 44863.429688 1712965684.7892
MEM 44906.507812 1712965684.8897
MEM 45037.609375 1712965684.9902
MEM 44768.082031 1712965685.0907
MEM 44642.617188 1712965685.1911
MEM 44358.902344 1712965685.2916
MEM 44479.558594 1712965685.3920
MEM 44435.757812 1712965685.4925
MEM 44549.566406 1712965685.5930
MEM 44629.109375 1712965685.6935
MEM 44747.921875 1712965685.7940
MEM 44735.218750 1712965685.8944
MEM 44765.289062 1712965685.9948
MEM 44583.597656 1712965686.0951
MEM 44383.156250 1712965686.1955
MEM 44188.695312 1712965686.2960
MEM 44310.382812 1712965686.3964
MEM 44311.976562 1712965686.4969
MEM 44348.210938 1712965686.5974
MEM 44435.082031 1712965686.6979
MEM 44480.863281 1712965686.7984
MEM 44559.851562 1712965686.8988
MEM 44455.757812 1712965686.9992
MEM 44376.589844 1712965687.0996
MEM 43952.757812 1712965687.1999
MEM 44052.539062 1712965687.3004
MEM 44049.320312 1712965687.4008
MEM 44192.808594 1712965687.5013
MEM 44258.531250 1712965687.6018
MEM 44356.773438 1712965687.7023
MEM 44311.574219 1712965687.8028
MEM 44498.007812 1712965687.9031
MEM 44194.425781 1712965688.0035
MEM 44147.316406 1712965688.1039
MEM 43843.968750 1712965688.2043
MEM 43966.945312 1712965688.3047
MEM 44011.648438 1712965688.4051
MEM 44060.359375 1712965688.5057
MEM 44136.128906 1712965688.6061
MEM 44182.148438 1712965688.7066
MEM 44284.597656 1712965688.8070
MEM 44095.449219 1712965688.9075
MEM 44095.449219 1712965689.0078
MEM 43716.371094 1712965689.1083
MEM 43842.699219 1712965689.2087
MEM 43796.378906 1712965689.3093
MEM 43944.148438 1712965689.4096
MEM 44036.140625 1712965689.5100
MEM 44167.605469 1712965689.6105
MEM 44136.042969 1712965689.7109
MEM 44211.136719 1712965689.8113
MEM 44045.488281 1712965689.9116
MEM 43676.679688 1712965690.0120
MEM 43751.394531 1712965690.1124
MEM 43759.082031 1712965690.2127
MEM 43915.613281 1712965690.3132
MEM 44094.296875 1712965690.4137
MEM 44129.949219 1712965690.5141
MEM 44140.640625 1712965690.6146
MEM 44285.890625 1712965690.7150
MEM 44025.093750 1712965690.8155
MEM 44004.000000 1712965690.9157
MEM 43702.640625 1712965691.0162
MEM 43827.679688 1712965691.1166
MEM 43851.304688 1712965691.2171
MEM 43902.496094 1712965691.3175
MEM 44054.605469 1712965691.4180
MEM 44099.160156 1712965691.5185
MEM 44188.464844 1712965691.6189
MEM 43982.847656 1712965691.7193
MEM 44030.277344 1712965691.8197
MEM 43692.296875 1712965691.9201
MEM 43809.085938 1712965692.0205
MEM 43796.140625 1712965692.1210
MEM 43964.777344 1712965692.2215
MEM 44035.839844 1712965692.3220
MEM 44232.394531 1712965692.4228
MEM 44117.484375 1712965692.5233
MEM 44354.156250 1712965692.6236
MEM 44050.667969 1712965692.7241
MEM 43825.394531 1712965692.8245
MEM 43795.347656 1712965692.9250
MEM 43916.519531 1712965693.0253
MEM 43954.398438 1712965693.1258
MEM 44143.796875 1712965693.2262
MEM 44162.832031 1712965693.3265
MEM 44192.480469 1712965693.4270
MEM 44341.078125 1712965693.5273
MEM 44067.136719 1712965693.6278
MEM 44040.207031 1712965693.7282
MEM 43691.863281 1712965693.8286
MEM 43733.925781 1712965693.9291
MEM 43855.355469 1712965694.0294
MEM 43898.007812 1712965694.1299
MEM 43934.039062 1712965694.2303
MEM 44071.574219 1712965694.3308
MEM 44116.425781 1712965694.4313
MEM 44197.476562 1712965694.5316
MEM 44060.027344 1712965694.6320
MEM 44056.062500 1712965694.7324
MEM 43819.132812 1712965694.8330
MEM 43779.687500 1712965694.9335
MEM 43901.117188 1712965695.0338
MEM 43949.062500 1712965695.1342
MEM 44126.042969 1712965695.2347
MEM 44167.960938 1712965695.3352
MEM 44149.160156 1712965695.4357
MEM 44328.914062 1712965695.5360
MEM 44048.929688 1712965695.6365
MEM 44004.929688 1712965695.7368
MEM 43720.695312 1712965695.8373
MEM 43842.382812 1712965695.9377
MEM 43798.238281 1712965696.0381
MEM 43977.890625 1712965696.1386
MEM 44052.039062 1712965696.2391
MEM 44226.289062 1712965696.3396
MEM 44146.921875 1712965696.4399
MEM 44242.175781 1712965696.5402
MEM 44044.148438 1712965696.6406
MEM 44013.433594 1712965696.7409
MEM 43730.984375 1712965696.8414
MEM 43854.476562 1712965696.9417
MEM 43910.718750 1712965697.0421
MEM 43941.148438 1712965697.1425
MEM 44077.503906 1712965697.2430
MEM 44124.484375 1712965697.3435
MEM 44216.109375 1712965697.4438
MEM 44008.101562 1712965697.5442
MEM 44034.398438 1712965697.6445
MEM 43684.441406 1712965697.7449
MEM 43800.714844 1712965697.8453
MEM 43787.394531 1712965697.9457
MEM 43963.046875 1712965698.0462
MEM 44018.554688 1712965698.1467
MEM 44220.421875 1712965698.2473
MEM 44091.910156 1712965698.3477
MEM 44340.957031 1712965698.4482
MEM 44041.351562 1712965698.5486
MEM 43927.781250 1712965698.6491
MEM 43726.386719 1712965698.7496
MEM 43849.878906 1712965698.8500
MEM 43808.191406 1712965698.9505
MEM 43929.070312 1712965699.0510
MEM 44071.593750 1712965699.1515
MEM 44121.808594 1712965699.2519
MEM 44226.324219 1712965699.3524
MEM 44084.093750 1712965699.4527
MEM 44044.406250 1712965699.5530
