CMDLINE python run_profiling.py
MEM 0.003906 1712962016.3440
MEM 16.003906 1712962016.4443
MEM 29.238281 1712962016.5445
MEM 34.414062 1712962016.6449
MEM 47.437500 1712962016.7453
MEM 57.402344 1712962016.8456
MEM 65.382812 1712962016.9459
MEM 71.554688 1712962017.0462
MEM 79.546875 1712962017.1465
MEM 87.003906 1712962017.2469
MEM 95.179688 1712962017.3472
MEM 99.597656 1712962017.4475
MEM 106.726562 1712962017.5478
MEM 130.269531 1712962017.6481
MEM 191.402344 1712962017.7484
MEM 201.851562 1712962017.8487
MEM 207.742188 1712962017.9490
MEM 226.160156 1712962018.0492
MEM 240.085938 1712962018.1495
MEM 252.019531 1712962018.2498
MEM 258.503906 1712962018.3501
MEM 268.386719 1712962018.4504
MEM 276.843750 1712962018.5507
MEM 289.023438 1712962018.6510
MEM 300.492188 1712962018.7514
MEM 311.867188 1712962018.8517
MEM 320.773438 1712962018.9520
MEM 329.062500 1712962019.0524
MEM 344.582031 1712962019.1527
MEM 350.371094 1712962019.2530
MEM 362.375000 1712962019.3534
MEM 370.777344 1712962019.4537
MEM 377.257812 1712962019.5540
MEM 382.667969 1712962019.6544
MEM 390.453125 1712962019.7547
MEM 398.746094 1712962019.8550
MEM 402.871094 1712962019.9554
MEM 408.542969 1712962020.0558
MEM 414.929688 1712962020.1561
MEM 418.105469 1712962020.2565
MEM 423.117188 1712962020.3568
MEM 429.605469 1712962020.4571
MEM 432.027344 1712962020.5575
MEM 437.453125 1712962020.6578
MEM 440.140625 1712962020.7581
MEM 452.394531 1712962020.8585
MEM 629.636719 1712962020.9588
MEM 1210.425781 1712962021.0591
MEM 1350.417969 1712962021.1595
MEM 1480.441406 1712962021.2600
MEM 1540.441406 1712962021.3603
MEM 2454.769531 1712962021.4607
MEM 3549.179688 1712962021.5611
MEM 4611.707031 1712962021.6614
MEM 5582.050781 1712962021.7617
MEM 6706.492188 1712962021.8621
MEM 7900.343750 1712962021.9625
MEM 9044.511719 1712962022.0628
MEM 10249.773438 1712962022.1632
MEM 11455.617188 1712962022.2635
MEM 12624.242188 1712962022.3639
MEM 13839.921875 1712962022.4642
MEM 15084.316406 1712962022.5646
MEM 16285.582031 1712962022.6650
MEM 17530.765625 1712962022.7653
MEM 18742.308594 1712962022.8657
MEM 19957.796875 1712962022.9660
MEM 21257.828125 1712962023.0664
MEM 22183.625000 1712962023.1669
MEM 22190.957031 1712962023.2673
MEM 22190.800781 1712962023.3676
MEM 22188.570312 1712962023.4680
MEM 20815.789062 1712962023.5683
MEM 21909.652344 1712962023.6687
MEM 23471.265625 1712962023.7692
MEM 24921.566406 1712962023.8696
MEM 26327.136719 1712962023.9700
MEM 27547.191406 1712962024.0704
MEM 28874.007812 1712962024.1708
MEM 30210.480469 1712962024.2712
MEM 31476.187500 1712962024.3716
MEM 32814.207031 1712962024.4720
MEM 34216.316406 1712962024.5725
MEM 35395.914062 1712962024.6729
MEM 36470.773438 1712962024.7733
MEM 37725.968750 1712962024.8737
MEM 38683.636719 1712962024.9741
MEM 38961.906250 1712962025.0744
MEM 39184.296875 1712962025.1747
MEM 39432.390625 1712962025.2750
MEM 39657.914062 1712962025.3753
MEM 39796.371094 1712962025.4756
MEM 39911.164062 1712962025.5758
MEM 39992.078125 1712962025.6761
MEM 39103.042969 1712962025.7764
MEM 37824.375000 1712962025.8767
MEM 36662.492188 1712962025.9770
MEM 35616.167969 1712962026.0773
MEM 34523.492188 1712962026.1776
MEM 33269.726562 1712962026.2779
MEM 32019.578125 1712962026.3781
MEM 30649.160156 1712962026.4784
MEM 29367.109375 1712962026.5787
MEM 28291.453125 1712962026.6790
MEM 26976.597656 1712962026.7793
MEM 25748.285156 1712962026.8796
MEM 24650.773438 1712962026.9799
MEM 25289.718750 1712962027.0802
MEM 25245.660156 1712962027.1806
MEM 24646.117188 1712962027.2811
MEM 25766.332031 1712962027.3816
MEM 26789.964844 1712962027.4820
MEM 28646.730469 1712962027.5823
MEM 30509.683594 1712962027.6827
MEM 32343.316406 1712962027.7830
MEM 34175.917969 1712962027.8834
MEM 35282.320312 1712962027.9837
MEM 35604.722656 1712962028.0841
MEM 35859.933594 1712962028.1845
MEM 35951.453125 1712962028.2848
MEM 35214.582031 1712962028.3851
MEM 34850.078125 1712962028.4854
MEM 35678.742188 1712962028.5858
MEM 35974.398438 1712962028.6861
MEM 35821.894531 1712962028.7866
MEM 35366.703125 1712962028.8870
MEM 35022.675781 1712962028.9874
MEM 34485.878906 1712962029.0878
MEM 34141.500000 1712962029.1881
MEM 33684.656250 1712962029.2885
MEM 33134.906250 1712962029.3889
MEM 32675.707031 1712962029.4893
MEM 32278.980469 1712962029.5896
MEM 31736.949219 1712962029.6899
MEM 31284.097656 1712962029.7903
MEM 30897.910156 1712962029.8906
MEM 30331.378906 1712962029.9909
MEM 29892.234375 1712962030.0913
MEM 29487.175781 1712962030.1916
MEM 28886.363281 1712962030.2920
MEM 28478.191406 1712962030.3923
MEM 27973.367188 1712962030.4927
MEM 27519.226562 1712962030.5930
MEM 27114.582031 1712962030.6933
MEM 26533.085938 1712962030.7937
MEM 26133.664062 1712962030.8940
MEM 27002.511719 1712962030.9944
MEM 25973.210938 1712962031.0947
MEM 26575.019531 1712962031.1950
MEM 27343.437500 1712962031.2956
MEM 28731.437500 1712962031.3961
MEM 30259.613281 1712962031.4966
MEM 31784.843750 1712962031.5971
MEM 33291.402344 1712962031.6976
MEM 34804.191406 1712962031.7982
MEM 36312.640625 1712962031.8987
MEM 37777.292969 1712962031.9991
MEM 39196.597656 1712962032.0996
MEM 40611.007812 1712962032.2001
MEM 42031.828125 1712962032.3007
MEM 43019.914062 1712962032.4012
MEM 44012.097656 1712962032.5017
MEM 45244.593750 1712962032.6022
MEM 46327.128906 1712962032.7027
MEM 47033.156250 1712962032.8032
MEM 47407.683594 1712962032.9036
MEM 47735.937500 1712962033.0041
MEM 48043.816406 1712962033.1045
MEM 48208.890625 1712962033.2050
MEM 48336.437500 1712962033.3054
MEM 48406.808594 1712962033.4058
MEM 48468.425781 1712962033.5061
MEM 47742.148438 1712962033.6065
MEM 47337.949219 1712962033.7069
MEM 47478.714844 1712962033.8074
MEM 47622.316406 1712962033.9078
MEM 47764.628906 1712962034.0082
MEM 47898.691406 1712962034.1087
MEM 48038.425781 1712962034.2091
MEM 48187.957031 1712962034.3095
MEM 48338.003906 1712962034.4099
MEM 48459.468750 1712962034.5103
MEM 48517.156250 1712962034.6108
MEM 48642.195312 1712962034.7113
MEM 48768.265625 1712962034.8117
MEM 48893.304688 1712962034.9122
MEM 49022.984375 1712962035.0126
MEM 48154.488281 1712962035.1130
MEM 48927.003906 1712962035.2134
MEM 50500.882812 1712962035.3138
MEM 52081.832031 1712962035.4142
MEM 53658.335938 1712962035.5145
MEM 55236.082031 1712962035.6149
MEM 56818.765625 1712962035.7153
MEM 58399.609375 1712962035.8156
MEM 59970.410156 1712962035.9160
MEM 61538.878906 1712962036.0164
MEM 63108.308594 1712962036.1167
MEM 64577.902344 1712962036.2171
MEM 65909.695312 1712962036.3174
MEM 66859.726562 1712962036.4179
MEM 67580.519531 1712962036.5183
MEM 68212.816406 1712962036.6187
MEM 68811.992188 1712962036.7191
MEM 69243.757812 1712962036.8194
