CMDLINE python run_profiling.py
MEM 0.003906 1712967388.5619
MEM 30.222656 1712967388.6622
MEM 70.351562 1712967388.7625
MEM 85.046875 1712967388.8628
MEM 104.937500 1712967388.9631
MEM 206.792969 1712967389.0635
MEM 266.113281 1712967389.1638
MEM 288.796875 1712967389.2642
MEM 306.902344 1712967389.3645
MEM 357.226562 1712967389.4648
MEM 377.828125 1712967389.5651
MEM 386.324219 1712967389.6655
MEM 397.285156 1712967389.7658
MEM 408.492188 1712967389.8660
MEM 416.421875 1712967389.9663
MEM 424.406250 1712967390.0666
MEM 425.238281 1712967390.1669
MEM 433.628906 1712967390.2671
MEM 437.191406 1712967390.3675
MEM 444.062500 1712967390.4678
MEM 450.414062 1712967390.5682
MEM 462.984375 1712967390.6686
MEM 470.679688 1712967390.7689
MEM 478.187500 1712967390.8692
MEM 1249.089844 1712967390.9697
MEM 1436.886719 1712967391.0701
MEM 1603.300781 1712967391.1706
MEM 2501.136719 1712967391.2710
MEM 3728.265625 1712967391.3713
MEM 5041.675781 1712967391.4717
MEM 6374.425781 1712967391.5720
MEM 7734.410156 1712967391.6724
MEM 9088.804688 1712967391.7728
MEM 10452.699219 1712967391.8731
MEM 11819.808594 1712967391.9734
MEM 13176.570312 1712967392.0738
MEM 14516.425781 1712967392.1741
MEM 15893.332031 1712967392.2745
MEM 17283.339844 1712967392.3748
MEM 18665.128906 1712967392.4752
MEM 20053.507812 1712967392.5756
MEM 21456.328125 1712967392.6759
MEM 22226.910156 1712967392.7763
MEM 22227.296875 1712967392.8766
MEM 22226.527344 1712967392.9769
MEM 22224.171875 1712967393.0773
MEM 21382.855469 1712967393.1778
MEM 23118.964844 1712967393.2783
MEM 24956.910156 1712967393.3788
MEM 26795.371094 1712967393.4793
MEM 28636.925781 1712967393.5798
MEM 30472.550781 1712967393.6804
MEM 32312.300781 1712967393.7809
MEM 34147.667969 1712967393.8814
MEM 35982.519531 1712967393.9819
MEM 37665.003906 1712967394.0823
MEM 38661.449219 1712967394.1827
MEM 39010.011719 1712967394.2831
MEM 39357.027344 1712967394.3835
MEM 39705.074219 1712967394.4839
MEM 39932.207031 1712967394.5843
MEM 40009.304688 1712967394.6846
MEM 38926.070312 1712967394.7850
MEM 37509.328125 1712967394.8853
MEM 36293.640625 1712967394.9857
MEM 35242.027344 1712967395.0860
MEM 34004.339844 1712967395.1863
MEM 32742.683594 1712967395.2867
MEM 31392.542969 1712967395.3870
MEM 29879.300781 1712967395.4874
MEM 28753.718750 1712967395.5877
MEM 27556.417969 1712967395.6881
MEM 26194.550781 1712967395.7885
