CMDLINE python run_profiling.py
MEM 0.003906 1712963550.1304
MEM 30.992188 1712963550.2306
MEM 68.925781 1712963550.3310
MEM 82.628906 1712963550.4313
MEM 104.078125 1712963550.5316
MEM 227.179688 1712963550.6320
MEM 270.929688 1712963550.7324
MEM 290.816406 1712963550.8327
MEM 312.835938 1712963550.9330
MEM 365.484375 1712963551.0334
MEM 377.679688 1712963551.1338
MEM 386.976562 1712963551.2341
MEM 401.863281 1712963551.3344
MEM 407.777344 1712963551.4348
MEM 418.167969 1712963551.5351
MEM 421.269531 1712963551.6354
MEM 426.832031 1712963551.7357
MEM 433.820312 1712963551.8360
MEM 436.113281 1712963551.9364
MEM 442.472656 1712963552.0367
MEM 703.558594 1712963552.1370
MEM 1132.226562 1712963552.2375
MEM 1447.093750 1712963552.3378
MEM 1728.855469 1712963552.4382
MEM 2901.316406 1712963552.5386
MEM 4163.660156 1712963552.6389
MEM 5472.906250 1712963552.7393
MEM 6786.742188 1712963552.8396
MEM 8141.070312 1712963552.9400
MEM 9404.070312 1712963553.0403
MEM 10714.917969 1712963553.1407
MEM 12030.339844 1712963553.2410
MEM 13373.421875 1712963553.3414
MEM 14687.941406 1712963553.4417
MEM 16048.664062 1712963553.5421
MEM 17407.878906 1712963553.6424
MEM 18763.316406 1712963553.7428
MEM 20128.730469 1712963553.8431
MEM 21509.476562 1712963553.9435
MEM 22183.433594 1712963554.0439
MEM 22197.820312 1712963554.1442
MEM 22197.761719 1712963554.2446
MEM 22196.648438 1712963554.3449
MEM 21425.761719 1712963554.4453
MEM 21451.996094 1712963554.5456
MEM 23125.457031 1712963554.6459
MEM 24877.292969 1712963554.7463
MEM 26630.933594 1712963554.8467
MEM 28375.292969 1712963554.9472
MEM 30123.777344 1712963555.0477
MEM 31875.613281 1712963555.1481
MEM 33638.277344 1712963555.2487
MEM 35391.144531 1712963555.3492
MEM 36957.871094 1712963555.4497
MEM 38426.113281 1712963555.5502
MEM 38808.707031 1712963555.6506
MEM 39157.527344 1712963555.7509
MEM 39505.058594 1712963555.8513
MEM 39784.785156 1712963555.9516
MEM 39962.160156 1712963556.0520
MEM 39483.238281 1712963556.1523
MEM 38274.640625 1712963556.2527
MEM 36916.222656 1712963556.3531
MEM 35885.007812 1712963556.4534
MEM 34842.378906 1712963556.5538
MEM 33581.496094 1712963556.6541
MEM 32329.203125 1712963556.7544
MEM 31037.156250 1712963556.8548
MEM 29588.953125 1712963556.9552
MEM 28502.765625 1712963557.0557
MEM 27285.687500 1712963557.1560
MEM 25937.218750 1712963557.2563
MEM 24784.542969 1712963557.3567
MEM 25204.125000 1712963557.4571
MEM 25080.496094 1712963557.5574
MEM 24630.507812 1712963557.6579
MEM 25725.816406 1712963557.7582
MEM 27375.367188 1712963557.8586
MEM 29266.679688 1712963557.9589
MEM 31159.023438 1712963558.0593
MEM 33052.824219 1712963558.1597
MEM 34768.824219 1712963558.2600
MEM 35341.210938 1712963558.3604
