CMDLINE python run_profiling.py
MEM 0.003906 1712965404.8690
MEM 30.855469 1712965404.9692
MEM 70.437500 1712965405.0695
MEM 86.000000 1712965405.1698
MEM 106.468750 1712965405.2701
MEM 225.687500 1712965405.3705
MEM 270.574219 1712965405.4708
MEM 292.214844 1712965405.5711
MEM 312.589844 1712965405.6714
MEM 360.082031 1712965405.7718
MEM 379.566406 1712965405.8722
MEM 387.933594 1712965405.9726
MEM 400.355469 1712965406.0729
MEM 408.632812 1712965406.1733
MEM 419.140625 1712965406.2736
MEM 424.792969 1712965406.3740
MEM 427.425781 1712965406.4743
MEM 434.832031 1712965406.5746
MEM 438.339844 1712965406.6749
MEM 445.718750 1712965406.7752
MEM 450.175781 1712965406.8756
MEM 459.734375 1712965406.9759
MEM 470.796875 1712965407.0761
MEM 471.386719 1712965407.1765
MEM 966.074219 1712965407.2768
MEM 1290.750000 1712965407.3773
MEM 1498.250000 1712965407.4777
MEM 2116.402344 1712965407.5782
MEM 3285.281250 1712965407.6786
MEM 4564.550781 1712965407.7789
MEM 5895.511719 1712965407.8793
MEM 7256.320312 1712965407.9796
MEM 8603.148438 1712965408.0800
MEM 9967.285156 1712965408.1803
MEM 11326.925781 1712965408.2807
MEM 12699.914062 1712965408.3811
MEM 14073.566406 1712965408.4814
MEM 15442.917969 1712965408.5818
MEM 16800.613281 1712965408.6821
MEM 18172.621094 1712965408.7825
MEM 19541.546875 1712965408.8828
MEM 20917.437500 1712965408.9832
MEM 22075.785156 1712965409.0835
MEM 22233.660156 1712965409.1839
MEM 22233.281250 1712965409.2842
MEM 22231.007812 1712965409.3845
MEM 20899.882812 1712965409.4849
MEM 22431.546875 1712965409.5855
MEM 24237.523438 1712965409.6860
MEM 26045.562500 1712965409.7865
MEM 27854.375000 1712965409.8869
MEM 29671.953125 1712965409.9880
MEM 31483.343750 1712965410.0885
MEM 33291.640625 1712965410.1889
MEM 35098.906250 1712965410.2893
MEM 36883.484375 1712965410.3896
MEM 38351.726562 1712965410.4900
MEM 38713.437500 1712965410.5904
MEM 39057.617188 1712965410.6907
MEM 39401.281250 1712965410.7910
MEM 39744.429688 1712965410.8913
MEM 39999.406250 1712965410.9916
MEM 39302.066406 1712965411.0920
MEM 37971.609375 1712965411.1923
MEM 36735.960938 1712965411.2926
MEM 35636.164062 1712965411.3930
MEM 34482.628906 1712965411.4934
MEM 33139.917969 1712965411.5937
MEM 31829.062500 1712965411.6941
MEM 30455.421875 1712965411.7944
MEM 29173.687500 1712965411.8948
MEM 27955.324219 1712965411.9952
MEM 26585.218750 1712965412.0956
MEM 25318.550781 1712965412.1960
MEM 25216.875000 1712965412.2964
MEM 25313.519531 1712965412.3967
MEM 24717.613281 1712965412.4970
MEM 25477.851562 1712965412.5974
MEM 26840.308594 1712965412.6977
MEM 28763.332031 1712965412.7981
MEM 30696.410156 1712965412.8984
MEM 32587.773438 1712965412.9988
MEM 34416.878906 1712965413.0991
MEM 35426.496094 1712965413.1995
MEM 35757.542969 1712965413.2998
MEM 35984.171875 1712965413.4002
MEM 35986.593750 1712965413.5006
MEM 35307.691406 1712965413.6009
MEM 34978.898438 1712965413.7012
MEM 35844.664062 1712965413.8016
MEM 36157.398438 1712965413.9019
MEM 35928.210938 1712965414.0024
MEM 35382.882812 1712965414.1027
MEM 35038.585938 1712965414.2030
MEM 34566.847656 1712965414.3033
MEM 34109.062500 1712965414.4035
MEM 33752.304688 1712965414.5038
MEM 33219.808594 1712965414.6041
MEM 32798.500000 1712965414.7044
MEM 32404.648438 1712965414.8046
MEM 31877.613281 1712965414.9049
MEM 31469.132812 1712965415.0052
MEM 31038.324219 1712965415.1055
MEM 30484.839844 1712965415.2058
MEM 29942.339844 1712965415.3061
MEM 29624.730469 1712965415.4064
MEM 29109.414062 1712965415.5066
MEM 28568.015625 1712965415.6069
MEM 28141.593750 1712965415.7072
MEM 27701.519531 1712965415.8075
MEM 27118.363281 1712965415.9077
MEM 26594.457031 1712965416.0080
MEM 26736.183594 1712965416.1085
MEM 27423.136719 1712965416.2089
MEM 26321.589844 1712965416.3093
MEM 26849.425781 1712965416.4097
MEM 27653.187500 1712965416.5102
MEM 29177.390625 1712965416.6107
MEM 30832.078125 1712965416.7111
MEM 32230.351562 1712965416.8116
MEM 33665.476562 1712965416.9121
MEM 34827.453125 1712965417.0126
MEM 36244.613281 1712965417.1131
MEM 37729.281250 1712965417.2136
MEM 39243.718750 1712965417.3141
MEM 40516.019531 1712965417.4146
MEM 41765.832031 1712965417.5151
MEM 43115.617188 1712965417.6155
MEM 43871.273438 1712965417.7160
MEM 45140.816406 1712965417.8165
MEM 46386.230469 1712965417.9169
MEM 47128.117188 1712965418.0174
MEM 47420.042969 1712965418.1179
MEM 47733.734375 1712965418.2183
MEM 48048.031250 1712965418.3187
MEM 48374.238281 1712965418.4191
MEM 48555.613281 1712965418.5195
MEM 48631.410156 1712965418.6199
MEM 48694.832031 1712965418.7202
MEM 48157.992188 1712965418.8205
MEM 47540.246094 1712965418.9209
MEM 47680.496094 1712965419.0213
MEM 47820.746094 1712965419.1216
MEM 47961.253906 1712965419.2220
MEM 48099.699219 1712965419.3223
MEM 48233.503906 1712965419.4227
MEM 48379.425781 1712965419.5230
MEM 48531.277344 1712965419.6233
MEM 48683.128906 1712965419.7237
MEM 48693.480469 1712965419.8241
MEM 48811.417969 1712965419.9245
MEM 48936.199219 1712965420.0248
MEM 49058.660156 1712965420.1252
MEM 49181.121094 1712965420.2257
MEM 49221.265625 1712965420.3260
MEM 48409.281250 1712965420.4264
MEM 50038.527344 1712965420.5269
MEM 51793.843750 1712965420.6275
