num_extra_predicates,load_time,preprocess_time,query_time,cumulative_time,original_rows,original_patients,result_rows,result_patients: ,notes
0,5.285630100000002,9.749401718999998,1.6234066950000006,16.658438514,10000000,809,3892,808,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142731898880, percent=64.7, used=258571616256, free=58852655104, active=42772783104, inactive=292219830272, buffers=3078369280, cached=83611742208, shared=71016448, slab=8189698048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2333333333333336, min=1200.0, max=3700.0), 'cores': 36}"
1,5.285630100000002,9.749401718999998,2.235070903000001,17.270102722,10000000,809,3892,808,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142642171904, percent=64.7, used=258661343232, free=58762928128, active=42772779008, inactive=292447162368, buffers=3078369280, cached=83611742208, shared=71016448, slab=8189698048), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.200333333333334, min=1200.0, max=3700.0), 'cores': 36}"
2,5.285630100000002,9.749401718999998,2.924378332000002,17.959410151000004,10000000,809,3892,808,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142584946688, percent=64.7, used=258718568448, free=58705686528, active=42772799488, inactive=292406648832, buffers=3078373376, cached=83611754496, shared=71016448, slab=8189710336), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2000000000000004, min=1200.0, max=3700.0), 'cores': 36}"
4,5.285630100000002,9.749401718999998,4.215828028000001,19.250859847,10000000,809,3892,808,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142551687168, percent=64.7, used=258751827968, free=58672365568, active=42772791296, inactive=292441702400, buffers=3078377472, cached=83611811840, shared=71016448, slab=8190861312), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.227805555555556, min=1200.0, max=3700.0), 'cores': 36}"
8,5.285630100000002,9.749401718999998,6.641201025999997,21.676232844999998,10000000,809,3892,808,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142534463488, percent=64.7, used=258769051648, free=58655133696, active=42772803584, inactive=292453011456, buffers=3078381568, cached=83611815936, shared=71016448, slab=8190173184), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.2000000000000004, min=1200.0, max=3700.0), 'cores': 36}"
16,5.285630100000002,9.749401718999998,11.677828121000001,26.71285994,10000000,809,3892,808,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142503399424, percent=64.7, used=258800115712, free=58624053248, active=42772824064, inactive=292520685568, buffers=3078397952, cached=83611815936, shared=71016448, slab=8190263296), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.1999722222222227, min=1200.0, max=3700.0), 'cores': 36}"
