num_extra_criteria,load_time,preprocess_time,query_time,cumulative_time,original_rows,original_patients,result_rows,result_patients: ,notes
0,5.305379449000001,9.859043459999995,184.39474598600003,199.55916889500003,150000000,11538,58275,11523,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142705336320, percent=64.7, used=258598174720, free=58825809920, active=42777452544, inactive=292328181760, buffers=3078688768, cached=83611709440, shared=71016448, slab=8189714432), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.3691111111111116, min=1200.0, max=3700.0), 'cores': 36}"
1,5.305379449000001,9.859043459999995,179.2324020639999,194.3968249729999,150000000,11538,18324,9971,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142760042496, percent=64.7, used=258543472640, free=58879991808, active=42777686016, inactive=292289310720, buffers=3078889472, cached=83612028928, shared=71016448, slab=8191868928), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.398944444444445, min=1200.0, max=3700.0), 'cores': 36}"
2,5.305379449000001,9.859043459999995,176.662530259,191.826953168,150000000,11538,18324,9971,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142802583552, percent=64.7, used=258500931584, free=58922283008, active=42777919488, inactive=292243492864, buffers=3079118848, cached=83612049408, shared=71016448, slab=8191823872), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.4895277777777782, min=1200.0, max=3700.0), 'cores': 36}"
4,5.305379449000001,9.859043459999995,174.26960387799994,189.43402678699994,150000000,11538,18324,9971,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142729441280, percent=64.7, used=258574073856, free=58848772096, active=42778140672, inactive=292262268928, buffers=3079323648, cached=83612213248, shared=71016448, slab=8192659456), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.387611111111112, min=1200.0, max=3700.0), 'cores': 36}"
8,5.305379449000001,9.859043459999995,174.58629129900007,189.75071420800006,150000000,11538,18324,9971,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142663327744, percent=64.7, used=258640187392, free=58782941184, active=42778406912, inactive=292398284800, buffers=3079565312, cached=83611688960, shared=71016448, slab=8190640128), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.4137500000000005, min=1200.0, max=3700.0), 'cores': 36}"
16,5.305379449000001,9.859043459999995,174.9063607849999,190.07078369399989,150000000,11538,18324,9971,"{'polars_threads': 36, 'platform': 'Linux-5.15.0-91-generic-x86_64-with-glibc2.35', 'memory': svmem(total=404114382848, available=142808854528, percent=64.7, used=258494660608, free=58927927296, active=42778648576, inactive=292273758208, buffers=3079806976, cached=83611987968, shared=71016448, slab=8191983616), 'cpu': 'x86_64', 'cpu_freq': scpufreq(current=1.7338888888888893, min=1200.0, max=3700.0), 'cores': 36}"
